station_id,resort_id,scraped_utc,attributed_date,value_raw,unit,value_in,kind,status
mt-hutt:NZ:RESORT,mt-hutt,2026-07-23T15:03:48+00:00,2026-07-22,158.0,cm,62.2,season_total,ok
coronet-peak:NZ:RESORT,coronet-peak,2026-07-23T15:03:48+00:00,2026-07-22,42.0,cm,16.54,season_total,ok
remarkables:NZ:RESORT,remarkables,2026-07-23T15:03:48+00:00,2026-07-22,33.0,cm,12.99,season_total,ok
thredbo:AU:RESORT,thredbo,2026-07-23T15:03:48+00:00,2026-07-22,2.0,cm,0.79,snow24,ok
catedral:AR:RESORT,catedral,2026-07-23T15:03:48+00:00,2026-07-22,5.0,cm,1.97,snow24,ok
chapelco:AR:RESORT,chapelco,2026-07-23T15:03:48+00:00,2026-07-22,1.0,cm,0.39,snow24,ok
la-hoya:AR:RESORT,la-hoya,2026-07-23T15:03:48+00:00,2026-07-22,1.0,cm,0.39,snow24,ok
portillo:CL:RESORT,portillo,2026-07-23T15:03:48+00:00,2026-07-22,528.0,cm,207.87,season_total,ok
valle-nevado:CL:RESORT,valle-nevado,2026-07-23T15:03:48+00:00,2026-07-21,15.0,cm,5.91,snow24,ok
antillanca:CL:RESORT,antillanca,2026-07-23T15:03:48+00:00,2026-07-22,0.0,cm,0.0,snow24,ok
las-lenas:AR:RESORT,las-lenas,2026-07-23T15:03:48+00:00,2026-07-22,,cm,,snow24,no_report
turoa:NZ:RESORT,turoa,2026-07-23T15:03:48+00:00,2026-07-22,0.0,cm,0.0,snow24,ok
whakapapa:NZ:RESORT,whakapapa,2026-07-23T15:03:48+00:00,2026-07-22,0.0,cm,0.0,snow24,ok
