station_id,horizon_h,truth_in,valid
antillanca:CL:RESORT,24,1.97,True
antillanca:CL:RESORT,48,3.94,True
antillanca:CL:RESORT,72,3.94,True
catedral:AR:RESORT,24,0.0,True
catedral:AR:RESORT,48,0.0,True
catedral:AR:RESORT,72,1.97,True
chapelco:AR:RESORT,24,6.69,True
chapelco:AR:RESORT,48,6.69,True
chapelco:AR:RESORT,72,10.63,True
coronet-peak:NZ:RESORT,24,0.0,True
coronet-peak:NZ:RESORT,48,0.0,True
coronet-peak:NZ:RESORT,72,0.0,True
la-hoya:AR:RESORT,24,15.75,True
la-hoya:AR:RESORT,48,31.5,True
la-hoya:AR:RESORT,72,47.25,True
las-lenas:AR:RESORT,24,,False
las-lenas:AR:RESORT,48,,False
las-lenas:AR:RESORT,72,,False
mt-hutt:NZ:RESORT,24,3.94,True
mt-hutt:NZ:RESORT,48,3.94,True
mt-hutt:NZ:RESORT,72,3.94,True
portillo:CL:RESORT,24,0.0,True
portillo:CL:RESORT,48,0.0,True
portillo:CL:RESORT,72,0.0,True
remarkables:NZ:RESORT,24,1.58,True
remarkables:NZ:RESORT,48,1.9700000000000002,True
remarkables:NZ:RESORT,72,1.9700000000000002,True
thredbo:AU:RESORT,24,0.0,True
thredbo:AU:RESORT,48,0.0,True
thredbo:AU:RESORT,72,0.0,True
turoa:NZ:RESORT,24,0.39,True
turoa:NZ:RESORT,48,0.78,True
turoa:NZ:RESORT,72,1.17,True
valle-nevado:CL:RESORT,24,0.0,True
valle-nevado:CL:RESORT,48,0.0,True
valle-nevado:CL:RESORT,72,0.0,True
whakapapa:NZ:RESORT,24,0.0,True
whakapapa:NZ:RESORT,48,0.0,True
whakapapa:NZ:RESORT,72,0.0,True
