station_id,horizon_h,truth_in,valid
1067:CA:SNTL,24,0.0,True
1067:CA:SNTL,48,0.0,True
1067:CA:SNTL,72,4.0,True
1082:WY:SNTL,24,4.0,True
1082:WY:SNTL,48,4.0,True
1082:WY:SNTL,72,4.0,True
1103:AK:SNTL,24,0.0,True
1103:AK:SNTL,48,0.0,True
1103:AK:SNTL,72,10.0,True
1154:UT:SNTL,24,7.0,True
1154:UT:SNTL,48,7.0,True
1154:UT:SNTL,72,10.0,True
1168:NM:SNTL,24,1.0,True
1168:NM:SNTL,48,1.0,True
1168:NM:SNTL,72,1.0,True
1308:UT:SNTL,24,8.0,True
1308:UT:SNTL,48,13.0,True
1308:UT:SNTL,72,14.0,True
332:UT:SNTL,24,0.0,True
332:UT:SNTL,48,0.0,True
332:UT:SNTL,72,7.0,True
335:CO:SNTL,24,4.0,True
335:CO:SNTL,48,9.0,True
335:CO:SNTL,72,9.0,True
365:MT:SNTL,24,1.0,True
365:MT:SNTL,48,2.0,True
365:MT:SNTL,72,2.0,True
366:UT:SNTL,24,5.0,True
366:UT:SNTL,48,7.0,True
366:UT:SNTL,72,7.0,True
370:ID:SNTL,24,0.0,True
370:ID:SNTL,48,0.0,True
370:ID:SNTL,72,0.0,True
415:CO:SNTL,24,0.0,True
415:CO:SNTL,48,9.0,True
415:CO:SNTL,72,9.0,True
428:CA:SNTL,24,0.0,True
428:CA:SNTL,48,0.0,True
428:CA:SNTL,72,6.0,True
490:ID:SNTL,24,0.0,True
490:ID:SNTL,48,0.0,True
490:ID:SNTL,72,0.0,True
518:CA:SNTL,24,0.0,True
518:CA:SNTL,48,0.0,True
518:CA:SNTL,72,8.0,True
531:CO:SNTL,24,2.0,True
531:CO:SNTL,48,5.0,True
531:CO:SNTL,72,5.0,True
542:CO:SNTL,24,6.0,True
542:CO:SNTL,48,15.0,True
542:CO:SNTL,72,15.0,True
586:CO:SNTL,24,3.0,True
586:CO:SNTL,48,3.0,True
586:CO:SNTL,72,3.0,True
590:MT:SNTL,24,1.0,True
590:MT:SNTL,48,1.0,True
590:MT:SNTL,72,1.0,True
602:CO:SNTL,24,4.0,True
602:CO:SNTL,48,8.0,True
602:CO:SNTL,72,10.0,True
642:WA:SNTL,24,0.0,True
642:WA:SNTL,48,2.0,True
642:WA:SNTL,72,2.0,True
651:OR:SNTL,24,1.0,True
651:OR:SNTL,48,1.0,True
651:OR:SNTL,72,1.0,True
652:NV:SNTL,24,0.0,True
652:NV:SNTL,48,0.0,True
652:NV:SNTL,72,4.0,True
664:MT:SNTL,24,1.0,True
664:MT:SNTL,48,1.0,True
664:MT:SNTL,72,1.0,True
672:WA:SNTL,24,0.0,True
672:WA:SNTL,48,0.0,True
672:WA:SNTL,72,0.0,True
679:WA:SNTL,24,0.0,True
679:WA:SNTL,48,2.0,True
679:WA:SNTL,72,2.0,True
689:WY:SNTL,24,5.0,True
689:WY:SNTL,48,5.0,True
689:WY:SNTL,72,5.0,True
692:WA:SNTL,24,0.0,True
692:WA:SNTL,48,3.0,True
692:WA:SNTL,72,3.0,True
713:CO:SNTL,24,3.0,True
713:CO:SNTL,48,13.0,True
713:CO:SNTL,72,13.0,True
737:CO:SNTL,24,2.0,True
737:CO:SNTL,48,11.0,True
737:CO:SNTL,72,12.0,True
738:ID:SNTL,24,0.0,True
738:ID:SNTL,48,4.0,True
738:ID:SNTL,72,4.0,True
766:UT:SNTL,24,14.0,True
766:UT:SNTL,48,14.0,True
766:UT:SNTL,72,14.0,True
784:CA:SNTL,24,0.0,True
784:CA:SNTL,48,0.0,True
784:CA:SNTL,72,6.0,True
791:WA:SNTL,24,0.0,True
791:WA:SNTL,48,0.0,True
791:WA:SNTL,72,1.0,True
814:UT:SNTL,24,4.0,True
814:UT:SNTL,48,4.0,True
814:UT:SNTL,72,9.0,True
815:OR:SNTL,24,0.0,True
815:OR:SNTL,48,0.0,True
815:OR:SNTL,72,2.0,True
822:WY:SNTL,24,8.0,True
822:WY:SNTL,48,8.0,True
822:WY:SNTL,72,8.0,True
825:CO:SNTL,24,0.0,True
825:CO:SNTL,48,2.0,True
825:CO:SNTL,72,4.0,True
842:CO:SNTL,24,2.0,True
842:CO:SNTL,48,3.0,True
842:CO:SNTL,72,3.0,True
848:CA:SNTL,24,0.0,True
848:CA:SNTL,48,0.0,True
848:CA:SNTL,72,5.0,True
874:CO:SNTL,24,8.0,True
874:CO:SNTL,48,8.0,True
874:CO:SNTL,72,8.0,True
909:WA:SNTL,24,0.0,True
909:WA:SNTL,48,1.0,True
909:WA:SNTL,72,2.0,True
922:NM:SNTL,24,3.0,True
922:NM:SNTL,48,3.0,True
922:NM:SNTL,72,3.0,True
978:ID:SNTL,24,0.0,True
978:ID:SNTL,48,0.0,True
978:ID:SNTL,72,0.0,True
