date,level_m
2024-07-02,3.150
2024-07-03,3.120
2024-07-04,3.270
2024-07-05,3.170
2024-07-06,3.400
2024-07-07,3.450
2024-07-08,3.310
2024-07-09,3.220
2024-07-10,3.570
2024-07-11,3.640
2024-07-12,3.240
2024-07-13,3.680
2024-07-14,3.630
2024-07-15,3.240
2024-07-16,3.490
2024-07-17,3.430
2024-07-18,3.380
2024-07-19,3.630
2024-07-20,3.540
2024-07-21,3.390
2024-07-22,3.410
2024-07-23,3.500
2024-07-24,3.270
2024-07-25,3.330
2024-07-26,3.480
2024-07-27,3.290
2024-07-28,3.810
2024-07-29,3.640
2024-07-30,3.320
2024-07-31,3.400
2024-08-01,3.140
2024-08-02,3.240
2024-08-03,3.370
2024-08-04,3.280
2024-08-05,3.430
2024-08-06,3.260
2024-08-07,3.340
2024-08-08,3.530
2024-08-09,3.200
2024-08-10,3.240
2024-08-11,3.470
2024-08-12,3.450
2024-08-13,3.330
2024-08-14,3.330
2024-08-15,3.520
2024-08-16,3.660
2024-08-17,3.680
2024-08-18,3.200
2024-08-19,3.170
2024-08-20,3.240
2024-08-21,3.770
2024-08-22,3.660
2024-08-23,3.770
2024-08-24,3.690
2024-08-25,3.340
2024-08-26,3.770
2024-08-27,3.600
2024-08-28,3.730
2024-08-29,3.740
2024-08-30,3.580
2024-08-31,3.750
2024-09-01,3.760
2024-09-02,3.720
2024-09-03,3.220
2024-09-04,3.560
2024-09-05,3.450
2024-09-06,3.630
2024-09-07,3.390
2024-09-08,3.540
2024-09-09,3.620
2024-09-10,3.490
2024-09-11,3.780
2024-09-12,3.670
2024-09-13,3.750
2024-09-14,3.680
2024-09-15,3.630
2024-09-16,3.720
2024-09-17,3.590
2024-09-18,3.520
2024-09-19,3.400
2024-09-20,3.620
