date,level_m
2024-07-05,2.190
2024-07-06,2.190
2024-07-07,2.200
2024-07-08,2.200
2024-07-09,2.190
2024-07-10,2.180
2024-07-11,2.160
2024-07-12,2.150
2024-07-13,2.150
2024-07-14,2.140
2024-07-15,2.140
2024-07-16,2.140
2024-07-17,2.140
2024-07-18,2.150
2024-07-20,2.190
2024-07-21,2.190
2024-07-29,2.220
2024-07-30,2.210
2024-07-31,2.190
2024-08-01,2.210
2024-08-03,2.230
2024-08-04,2.220
2024-08-05,2.210
2024-08-06,2.210
2024-08-07,2.210
2024-08-08,2.230
2024-08-14,2.220
2024-08-20,2.320
2024-08-21,2.330
2024-08-22,2.330
2024-08-23,2.320
2024-08-26,2.250
2024-08-30,2.250
2024-09-05,2.130
