date,level_m
2024-07-03,0.520
2024-07-04,0.520
2024-07-05,0.520
2024-07-06,0.520
2024-07-07,0.520
2024-07-08,0.520
2024-07-09,0.530
2024-07-10,0.530
2024-07-11,0.530
2024-07-12,0.530
2024-07-13,0.530
2024-07-14,0.530
2024-07-15,0.530
2024-07-17,0.540
2024-07-18,0.540
2024-07-19,0.540
2024-07-20,0.540
2024-07-21,0.540
2024-07-22,0.540
2024-07-23,0.540
2024-07-24,0.540
2024-07-25,0.560
2024-07-26,0.560
2024-07-27,0.560
2024-07-28,0.560
2024-07-29,0.570
2024-07-30,0.570
2024-07-31,0.570
2024-08-04,0.600
2024-08-05,0.610
2024-08-06,0.610
2024-08-07,0.610
2024-08-08,0.610
2024-08-09,0.610
2024-08-10,0.620
2024-08-11,0.620
2024-08-12,0.620
2024-08-13,0.620
2024-08-14,0.630
2024-08-15,0.630
2024-08-16,0.630
2024-08-17,0.630
2024-08-18,0.630
2024-08-19,0.620
2024-08-20,0.630
2024-08-22,0.630
2024-08-23,0.630
2024-08-24,0.620
2024-08-25,0.630
2024-08-26,0.630
2024-08-27,0.630
2024-08-28,0.630
2024-08-29,0.620
2024-08-30,0.620
2024-08-31,0.620
2024-09-01,0.620
2024-09-02,0.630
2024-09-03,0.630
2024-09-04,0.630
2024-09-06,0.640
2024-09-07,0.640
2024-09-08,0.640
2024-09-09,0.640
2024-09-10,0.640
2024-09-11,0.640
2024-09-12,0.640
2024-09-13,0.640
2024-09-14,0.640
2024-09-15,0.640
2024-09-16,0.640
2024-09-17,0.640
2024-09-18,0.640
2024-09-19,0.640
2024-09-20,0.640
