date,level_m
2024-07-07,0.360
2024-07-08,0.360
2024-07-09,0.360
2024-07-15,0.360
2024-07-18,0.360
2024-07-19,0.360
2024-07-20,0.370
2024-07-21,0.360
2024-07-22,0.360
2024-07-24,0.370
2024-07-25,0.370
2024-07-26,0.390
2024-07-27,0.410
2024-07-28,0.410
2024-07-29,0.420
2024-07-30,0.420
2024-07-31,0.420
2024-08-02,0.440
2024-08-03,0.460
2024-08-04,0.470
2024-08-05,0.470
2024-08-06,0.480
2024-08-07,0.480
2024-08-08,0.490
2024-08-09,0.490
2024-08-10,0.500
2024-08-11,0.500
2024-08-12,0.500
2024-08-13,0.500
2024-08-14,0.500
2024-08-15,0.500
2024-08-16,0.500
2024-08-17,0.500
2024-08-18,0.500
2024-08-19,0.500
2024-08-20,0.510
2024-08-21,0.510
2024-08-22,0.500
2024-08-23,0.500
2024-08-24,0.500
2024-08-25,0.500
2024-08-26,0.510
2024-08-27,0.510
2024-08-28,0.520
2024-08-29,0.530
2024-08-30,0.530
2024-08-31,0.530
2024-09-01,0.530
2024-09-02,0.550
2024-09-03,0.550
2024-09-04,0.560
2024-09-05,0.560
2024-09-06,0.560
2024-09-07,0.560
2024-09-08,0.560
2024-09-09,0.560
2024-09-10,0.570
2024-09-11,0.570
2024-09-12,0.570
2024-09-13,0.570
2024-09-14,0.570
2024-09-15,0.570
2024-09-16,0.570
2024-09-17,0.570
2024-09-18,0.570
2024-09-19,0.570
2024-09-20,0.580
