date,level_m
2024-07-02,0.300
2024-07-03,0.300
2024-07-04,0.300
2024-07-05,0.310
2024-07-06,0.310
2024-07-07,0.310
2024-07-08,0.310
2024-07-09,0.310
2024-07-10,0.310
2024-07-11,0.310
2024-07-12,0.310
2024-07-13,0.310
2024-07-14,0.310
2024-07-15,0.310
2024-07-16,0.300
2024-07-17,0.300
2024-07-18,0.290
2024-07-19,0.290
2024-07-20,0.300
2024-07-21,0.300
2024-07-22,0.300
2024-07-23,0.300
2024-07-24,0.300
2024-07-25,0.300
2024-07-26,0.300
2024-07-27,0.300
2024-07-28,0.300
2024-07-29,0.300
2024-07-30,0.290
2024-07-31,0.300
2024-08-01,0.310
2024-08-02,0.320
2024-08-03,0.320
2024-08-04,0.320
2024-08-05,0.330
2024-08-06,0.330
2024-08-07,0.340
2024-08-08,0.340
2024-08-09,0.340
2024-08-10,0.330
2024-08-11,0.330
2024-08-12,0.340
2024-08-13,0.340
2024-08-14,0.330
2024-08-15,0.330
2024-08-16,0.330
2024-08-17,0.330
2024-08-18,0.330
2024-08-19,0.340
2024-08-20,0.340
2024-08-21,0.340
2024-08-22,0.340
2024-08-23,0.350
2024-08-24,0.350
2024-08-25,0.350
2024-08-26,0.350
2024-08-27,0.350
2024-08-28,0.350
2024-08-29,0.340
2024-08-30,0.340
2024-08-31,0.350
2024-09-01,0.340
2024-09-02,0.340
2024-09-03,0.340
2024-09-04,0.340
2024-09-05,0.350
2024-09-06,0.340
2024-09-07,0.340
2024-09-08,0.340
2024-09-09,0.340
2024-09-10,0.340
2024-09-11,0.340
2024-09-12,0.340
2024-09-13,0.340
2024-09-14,0.340
2024-09-15,0.340
2024-09-16,0.340
2024-09-17,0.340
2024-09-18,0.340
2024-09-19,0.340
2024-09-20,0.340
