date,level_m
2024-07-02,0.050
2024-07-03,0.160
2024-07-04,0.210
2024-07-05,0.100
2024-07-06,0.120
2024-07-07,0.140
2024-07-08,0.170
2024-07-09,0.050
2024-07-10,-0.020
2024-07-11,0.030
2024-07-12,0.080
2024-07-13,0.030
2024-07-14,0.030
2024-07-15,0.200
2024-07-16,-0.050
2024-07-17,-0.140
2024-07-18,-0.140
2024-07-19,-0.150
2024-07-20,-0.090
2024-07-21,-0.040
2024-07-22,-0.200
2024-07-23,0.030
2024-07-24,0.000
2024-07-25,-0.130
2024-07-26,-0.230
2024-07-27,-0.330
2024-07-28,-0.090
2024-07-29,0.040
2024-07-30,-0.090
2024-07-31,0.090
2024-08-01,-0.010
2024-08-02,-0.010
2024-08-03,0.300
2024-08-04,-0.290
2024-08-05,-0.160
2024-08-06,-0.270
2024-08-07,-0.210
2024-08-08,-0.270
2024-08-09,0.100
2024-08-10,0.080
2024-08-11,0.250
2024-08-12,-0.160
2024-08-13,-0.180
2024-08-14,0.120
2024-08-15,-0.290
2024-08-16,-0.180
2024-08-17,-0.140
2024-08-18,-0.100
2024-08-19,0.000
2024-08-20,0.310
2024-08-21,-0.010
2024-08-22,-0.120
2024-08-23,-0.200
2024-08-24,0.120
2024-08-25,0.170
2024-08-26,0.050
2024-08-27,-0.390
2024-08-28,-0.180
2024-08-29,-0.100
2024-08-30,-0.240
2024-08-31,-0.090
2024-09-01,-0.260
2024-09-02,-0.150
2024-09-03,0.140
2024-09-04,-0.100
2024-09-05,-0.110
2024-09-06,0.000
2024-09-07,0.070
2024-09-08,1.120
2024-09-09,0.110
2024-09-10,0.240
2024-09-11,0.410
2024-09-12,0.560
2024-09-13,0.260
2024-09-14,0.140
2024-09-15,0.110
2024-09-16,0.030
2024-09-17,0.570
2024-09-18,-0.150
2024-09-19,0.030
2024-09-20,-0.050
