date,level_m
2024-07-02,0.520
2024-07-03,0.550
2024-07-04,0.550
2024-07-05,0.550
2024-07-06,0.550
2024-07-07,0.550
2024-07-08,0.550
2024-07-09,0.550
2024-07-10,0.550
2024-07-11,0.550
2024-07-12,0.550
2024-07-13,0.550
2024-07-14,0.550
2024-07-15,0.550
2024-07-16,0.550
2024-07-17,0.560
2024-07-18,0.570
2024-07-19,0.570
2024-07-20,0.570
2024-07-21,0.560
2024-07-22,0.560
2024-07-23,0.560
2024-07-24,0.570
2024-07-25,0.580
2024-07-27,0.590
2024-07-28,0.590
2024-07-29,0.590
2024-07-30,0.590
2024-07-31,0.590
2024-08-02,0.600
2024-08-03,0.600
2024-08-04,0.600
2024-08-05,0.600
2024-08-06,0.600
2024-08-07,0.600
2024-08-08,0.600
2024-08-09,0.610
2024-08-10,0.610
2024-08-11,0.610
2024-08-12,0.590
2024-08-13,0.570
2024-08-14,0.570
2024-08-15,0.570
2024-08-16,0.580
2024-08-17,0.590
2024-08-18,0.590
2024-08-19,0.590
2024-08-20,0.590
2024-08-21,0.590
2024-08-22,0.590
2024-08-23,0.590
2024-08-24,0.590
2024-08-25,0.590
2024-08-26,0.590
2024-08-27,0.590
2024-08-28,0.590
2024-08-29,0.590
2024-08-30,0.590
2024-08-31,0.600
2024-09-01,0.630
2024-09-02,0.640
2024-09-03,0.650
2024-09-04,0.650
2024-09-05,0.650
2024-09-06,0.650
2024-09-07,0.650
2024-09-08,0.680
2024-09-09,0.700
2024-09-10,0.710
2024-09-11,0.710
2024-09-12,0.710
2024-09-13,0.710
2024-09-14,0.710
2024-09-15,0.720
2024-09-16,0.730
2024-09-17,0.730
2024-09-18,0.730
2024-09-19,0.740
2024-09-20,0.740
