date,swe_mm
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,0.0
2021-05-08,0.0
2021-05-09,0.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,0.0
2021-05-13,0.0
2021-05-14,0.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,0.0
2021-05-22,0.0
2021-05-23,0.0
2021-05-24,0.0
2021-05-25,0.0
2021-05-26,0.0
2021-05-27,0.0
2021-05-28,0.0
2021-05-29,0.0
2021-05-30,0.0
2021-05-31,0.0
2021-06-01,0.0
2021-06-02,0.0
2021-06-03,0.0
2021-06-04,0.0
2021-06-05,0.0
2021-06-06,0.0
2021-06-07,0.0
2021-06-08,0.0
2021-06-09,0.0
2021-06-10,0.0
2021-06-11,0.0
2021-06-12,0.0
2021-06-13,0.0
2021-06-14,0.0
2021-06-15,0.0
2021-06-16,0.0
2021-06-17,0.0
2021-06-18,0.0
2021-06-19,0.0
2021-06-20,0.0
2021-06-21,0.0
2021-06-22,0.0
2021-06-23,0.0
2021-06-24,0.0
2021-06-25,0.0
2021-06-26,0.0
2021-06-27,0.0
2021-06-28,0.0
2021-06-29,0.0
2021-06-30,0.0
2021-07-01,0.0
2021-07-02,0.0
2021-07-03,40.0
2021-07-04,60.0
2021-07-05,60.0
2021-07-06,62.0
2021-07-07,60.0
2021-07-08,60.0
2021-07-09,77.0
2021-07-10,90.0
2021-07-11,98.0
2021-07-12,95.0
2021-07-13,90.0
2021-07-14,92.0
2021-07-15,92.0
2021-07-16,98.0
2021-07-17,87.0
2021-07-18,87.0
2021-07-19,90.0
2021-07-20,90.0
2021-07-21,88.0
2021-07-22,90.0
2021-07-23,82.0
2021-07-24,68.0
2021-07-25,78.0
2021-07-26,55.0
2021-07-27,27.0
2021-07-28,20.0
2021-08-04,25.0
2021-08-05,68.0
2021-08-06,68.0
2021-08-07,73.0
2021-08-08,62.0
2021-08-09,43.0
2021-08-10,25.0
2021-08-11,15.0
2021-08-12,15.0
2021-08-13,8.0
2021-08-14,8.0
2021-08-15,38.0
2021-08-16,90.0
2021-08-17,90.0
2021-08-18,97.0
2021-08-19,100.0
2021-08-20,95.0
2021-08-21,130.0
2021-08-22,127.0
2021-08-23,127.0
2021-08-24,135.0
2021-08-25,152.0
2021-08-26,158.0
2021-08-27,165.0
2021-08-28,165.0
2021-08-29,170.0
2021-08-30,173.0
2021-08-31,180.0
2021-09-01,180.0
2021-09-02,188.0
2021-09-03,198.0
2021-09-04,200.0
2021-09-05,208.0
2021-09-06,207.0
2021-09-07,197.0
2021-09-08,195.0
2021-09-09,213.0
2021-09-10,223.0
2021-09-11,242.0
2021-09-12,243.0
2021-09-13,217.0
2021-09-14,208.0
2021-09-15,213.0
2021-09-16,213.0
2021-09-17,215.0
2021-09-18,200.0
2021-09-19,188.0
2021-09-20,172.0
