date,swe_mm
2022-04-02,0.0
2022-04-03,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-15,0.0
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-07,0.0
2022-05-08,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
2022-05-13,0.0
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.0
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,0.0
2022-05-24,0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-28,0.0
2022-05-29,0.0
2022-05-30,0.0
2022-05-31,0.0
2022-06-01,0.0
2022-06-02,1.0
2022-06-03,13.0
2022-06-04,53.0
2022-06-05,64.0
2022-06-06,60.0
2022-06-07,59.0
2022-06-08,60.0
2022-06-09,50.0
2022-06-10,50.0
2022-06-11,49.0
2022-06-12,49.0
2022-06-13,53.0
2022-06-14,61.0
2022-06-15,51.0
2022-06-16,44.0
2022-06-17,37.0
2022-06-18,50.0
2022-06-19,64.0
2022-06-20,59.0
2022-06-21,51.0
2022-06-22,57.0
2022-06-23,63.0
2022-06-24,59.0
2022-06-25,69.0
2022-06-26,63.0
2022-06-27,49.0
2022-06-28,44.0
2022-06-29,63.0
2022-06-30,64.0
2022-07-01,64.0
2022-07-02,47.0
2022-07-03,54.0
2022-07-04,51.0
2022-07-05,37.0
2022-07-06,50.0
2022-07-07,34.0
2022-07-08,53.0
2022-07-09,60.0
2022-07-10,80.0
2022-07-11,87.0
2022-07-12,86.0
2022-07-13,92.0
2022-07-14,94.0
2022-07-15,94.0
2022-07-16,83.0
2022-07-17,93.0
2022-07-18,96.0
2022-07-19,89.0
2022-07-20,84.0
2022-07-21,80.0
2022-07-22,86.0
2022-07-23,90.0
2022-07-24,90.0
2022-07-25,94.0
2022-07-26,97.0
2022-07-27,100.0
2022-07-28,91.0
2022-07-29,84.0
2022-07-30,90.0
2022-07-31,90.0
2022-08-01,93.0
2022-08-02,91.0
2022-08-03,89.0
2022-08-04,83.0
2022-08-05,80.0
2022-08-06,84.0
2022-08-07,84.0
2022-08-08,66.0
2022-08-09,70.0
2022-08-10,84.0
2022-08-11,89.0
2022-08-12,89.0
2022-08-13,89.0
2022-08-14,91.0
2022-08-15,87.0
2022-08-16,97.0
2022-08-17,119.0
2022-08-18,113.0
2022-08-19,109.0
2022-08-20,109.0
2022-08-21,110.0
2022-08-22,109.0
2022-08-23,109.0
2022-08-24,116.0
2022-08-25,116.0
2022-08-26,116.0
2022-08-27,119.0
2022-08-28,111.0
2022-08-29,111.0
2022-08-30,113.0
2022-08-31,113.0
2022-09-01,107.0
2022-09-02,104.0
2022-09-03,90.0
2022-09-04,87.0
2022-09-05,80.0
2022-09-06,73.0
2022-09-07,67.0
2022-09-08,44.0
2022-09-09,19.0
2022-09-10,10.0
2022-09-11,0.0
2022-09-12,0.0
2022-09-13,0.0
2022-09-14,0.0
2022-09-15,0.0
2022-09-16,0.0
2022-09-17,0.0
2022-09-18,0.0
2022-09-19,0.0
2022-09-20,0.0
2022-09-21,0.0
2022-09-22,0.0
2022-09-23,0.0
2022-09-24,0.0
2022-09-25,0.0
2022-09-26,0.0
2022-09-27,0.0
2022-09-28,0.0
2022-09-29,0.0
2022-09-30,0.0
2022-10-01,0.0
2022-10-02,0.0
2022-10-03,0.0
2022-10-04,0.0
2022-10-05,0.0
2022-10-06,0.0
2022-10-07,0.0
2022-10-08,0.0
2022-10-09,0.0
2022-10-10,0.0
2022-10-11,0.0
2022-10-12,0.0
2022-10-13,0.0
2022-10-14,0.0
2022-10-15,0.0
2022-10-16,0.0
2022-10-17,0.0
2022-10-18,0.0
2023-04-01,0.0
2023-04-02,0.0
2023-04-03,0.0
2023-04-04,0.0
2023-04-05,0.0
2023-04-06,0.0
2023-04-07,0.0
2023-04-08,0.0
2023-04-09,0.0
2023-04-10,0.0
2023-04-11,0.0
2023-04-12,0.0
2023-04-13,0.0
2023-04-14,0.0
2023-04-15,0.0
2023-04-16,0.0
2023-04-17,0.0
2023-04-18,0.0
2023-04-19,0.0
2023-04-20,0.0
2023-04-21,0.0
2023-04-22,0.0
2023-04-23,0.0
2023-04-24,0.0
2023-04-25,0.0
2023-04-26,0.0
2023-04-27,0.0
2023-04-28,0.0
2023-04-29,0.0
2023-04-30,0.0
2023-05-01,0.0
2023-05-02,0.0
2023-05-03,0.0
2023-05-04,0.0
2023-05-05,0.0
2023-05-06,0.0
2023-05-07,0.0
2023-05-08,0.0
2023-05-09,0.0
2023-05-10,0.0
2023-05-11,0.0
2023-05-12,0.0
2023-05-13,0.0
2023-05-14,0.0
2023-05-15,0.0
2023-05-16,0.0
2023-05-17,0.0
2023-05-18,0.0
2023-05-19,0.0
2023-05-20,0.0
2023-05-21,50.0
2023-05-22,56.0
2023-05-23,60.0
2023-05-24,76.0
2023-05-25,80.0
2023-05-26,76.0
2023-05-27,73.0
2023-05-28,70.0
2023-05-29,76.0
2023-05-30,71.0
2023-05-31,77.0
2023-06-01,73.0
2023-06-02,67.0
2023-06-03,60.0
2023-06-04,56.0
2023-06-05,49.0
2023-06-06,50.0
2023-06-07,59.0
2023-06-08,63.0
2023-06-09,60.0
2023-06-10,51.0
2023-06-11,27.0
2023-06-12,0.0
2023-06-13,0.0
2023-06-14,29.0
2023-06-15,43.0
2023-06-16,43.0
2023-06-17,43.0
2023-06-18,47.0
2023-06-19,54.0
2023-06-20,50.0
2023-06-21,56.0
2023-06-22,81.0
2023-06-23,160.0
2023-06-24,230.0
2023-06-25,230.0
2023-06-26,221.0
2023-06-27,211.0
2023-06-28,201.0
2023-06-29,194.0
2023-06-30,194.0
2023-07-01,200.0
2023-07-02,199.0
2023-07-03,190.0
2023-07-04,190.0
2023-07-05,181.0
2023-07-06,180.0
2023-07-07,179.0
2023-07-08,176.0
2023-07-09,180.0
2023-07-10,177.0
2023-07-11,176.0
2023-07-12,180.0
2023-07-13,180.0
2023-07-14,180.0
2023-07-15,187.0
2023-07-16,193.0
2023-07-17,193.0
2023-07-18,193.0
2023-07-19,201.0
2023-07-20,211.0
2023-07-21,211.0
2023-07-22,207.0
2023-07-23,203.0
2023-07-24,210.0
2023-07-25,214.0
2023-07-26,204.0
2023-07-27,194.0
2023-07-28,197.0
2023-07-29,201.0
2023-07-30,209.0
2023-07-31,211.0
2023-08-01,219.0
2023-08-02,227.0
2023-08-03,246.0
2023-08-04,249.0
2023-08-05,247.0
2023-08-06,254.0
2023-08-07,243.0
2023-08-08,243.0
2023-08-09,227.0
2023-08-10,216.0
2023-08-11,211.0
2023-08-12,211.0
2023-08-13,216.0
2023-08-14,210.0
2023-08-15,209.0
2023-08-16,219.0
2023-08-17,226.0
2023-08-18,221.0
2023-08-19,223.0
2023-08-20,250.0
2023-08-21,271.0
2023-08-22,290.0
2023-08-23,343.0
2023-08-24,367.0
2023-08-25,370.0
2023-08-26,370.0
2023-08-27,369.0
2023-08-28,370.0
2023-08-29,374.0
2023-08-30,379.0
2023-08-31,370.0
2023-09-01,380.0
2023-09-02,404.0
2023-09-03,409.0
2023-09-04,397.0
2023-09-05,394.0
2023-09-06,413.0
2023-09-07,420.0
2023-09-08,430.0
2023-09-09,450.0
2023-09-10,497.0
2023-09-11,537.0
2023-09-12,540.0
2023-09-13,539.0
2023-09-14,539.0
2023-09-15,539.0
2023-09-16,540.0
2023-09-17,547.0
2023-09-18,544.0
2023-09-19,547.0
2023-09-20,546.0
2023-09-21,546.0
2023-09-22,550.0
2023-09-23,549.0
2023-09-24,547.0
2023-09-25,541.0
2023-09-26,533.0
2023-09-27,523.0
2023-09-28,506.0
2023-09-29,490.0
2023-09-30,471.0
2023-10-01,453.0
2023-10-02,437.0
2023-10-03,423.0
2023-10-04,406.0
2023-10-05,394.0
2023-10-06,380.0
2023-10-07,359.0
2023-10-08,346.0
2023-10-09,326.0
2023-10-10,309.0
2023-10-11,290.0
2023-10-12,244.0
2023-10-13,194.0
2023-10-14,156.0
2023-10-15,121.0
2023-10-16,101.0
2023-10-17,97.0
2023-10-18,81.0
2023-10-19,81.0
2023-10-20,0.0
2023-10-21,0.0
2023-10-22,0.0
2023-10-23,0.0
2023-10-24,0.0
2023-10-25,0.0
2023-10-26,0.0
2023-10-27,0.0
2023-10-28,0.0
2023-10-29,0.0
2023-10-30,0.0
2023-10-31,0.0
2023-11-01,0.0
2023-11-02,0.0
2023-11-03,0.0
2023-11-04,0.0
2023-11-05,0.0
2023-11-06,0.0
2023-11-07,0.0
2023-11-08,0.0
2023-11-09,0.0
2023-11-10,0.0
2023-11-11,0.0
2023-11-12,0.0
2023-11-13,0.0
2023-11-14,0.0
2023-11-15,0.0
2023-11-16,0.0
2023-11-17,0.0
