date,swe_mm
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,0.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,0.0
2021-05-08,0.0
2021-05-09,0.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,0.0
2021-05-13,0.0
2021-05-14,0.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,5.0
2021-05-22,10.0
2021-05-23,15.0
2021-05-24,20.0
2021-05-25,20.0
2021-05-26,30.0
2021-05-27,30.0
2021-05-28,38.0
2021-05-29,40.0
2021-05-30,40.0
2021-05-31,40.0
2021-06-01,40.0
2021-06-02,50.0
2021-06-03,50.0
2021-06-04,60.0
2021-06-05,60.0
2021-06-06,70.0
2021-06-07,70.0
2021-06-08,70.0
2021-06-09,65.0
2021-06-10,60.0
2021-06-11,53.0
2021-06-12,60.0
2021-06-13,62.0
2021-06-14,72.0
2021-06-15,70.0
2021-06-16,70.0
2021-06-17,70.0
2021-06-18,70.0
2021-06-19,70.0
2021-06-20,70.0
2021-06-21,70.0
2021-06-22,70.0
2021-06-23,70.0
2021-06-24,70.0
2021-06-25,70.0
2021-06-26,70.0
2021-06-27,70.0
2021-06-28,70.0
2021-06-29,70.0
2021-06-30,70.0
2021-07-01,70.0
2021-07-02,70.0
2021-07-03,70.0
2021-07-04,70.0
2021-07-05,70.0
2021-07-06,70.0
2021-07-07,70.0
2021-07-08,70.0
2021-07-09,70.0
2021-07-10,70.0
2021-07-11,70.0
2021-07-12,70.0
2021-07-13,70.0
2021-07-14,70.0
2021-07-15,70.0
2021-07-16,70.0
2021-07-17,70.0
2021-07-18,70.0
2021-07-19,70.0
2021-07-20,70.0
2021-07-21,70.0
2021-07-22,70.0
2021-07-23,70.0
2021-07-24,70.0
2021-07-25,70.0
2021-07-26,70.0
2021-07-27,70.0
2021-07-28,70.0
2021-07-29,70.0
2021-07-30,70.0
2021-07-31,70.0
2021-08-01,70.0
2021-08-02,70.0
2021-08-03,70.0
2021-08-04,70.0
2021-08-05,70.0
2021-08-06,70.0
2021-08-07,70.0
2021-08-08,70.0
2021-08-09,68.0
2021-08-10,68.0
2021-08-11,65.0
2021-08-12,62.0
2021-08-13,63.0
2021-08-14,60.0
2021-08-15,60.0
2021-08-16,63.0
2021-08-17,70.0
2021-08-18,75.0
2021-08-19,76.0
2021-08-20,80.0
2021-08-21,80.0
2021-08-22,90.0
2021-08-23,90.0
2021-08-24,93.0
2021-08-25,117.0
2021-08-26,139.0
2021-08-27,150.0
2021-08-28,162.0
2021-08-29,192.0
2021-08-30,210.0
2021-08-31,207.0
2021-09-01,200.0
2021-09-02,200.0
2021-09-03,200.0
2021-09-04,200.0
2021-09-05,197.0
2021-09-06,190.0
2021-09-07,190.0
2021-09-08,190.0
2021-09-09,186.0
2021-09-10,184.0
2021-09-11,187.0
2021-09-12,180.0
2021-09-13,180.0
2021-09-14,180.0
2021-09-15,180.0
2021-09-16,180.0
2021-09-17,180.0
2021-09-18,180.0
2021-09-19,180.0
2021-09-20,180.0
2021-09-21,176.0
2021-09-22,164.0
2021-09-23,160.0
2021-09-24,156.0
2021-09-25,150.0
2021-09-26,150.0
2021-09-27,150.0
2021-09-28,150.0
2021-09-29,150.0
2021-09-30,141.0
2021-10-01,140.0
2021-10-02,140.0
2021-10-03,140.0
2021-10-04,140.0
2021-10-05,140.0
2021-10-06,140.0
2021-10-07,140.0
2021-10-08,140.0
2021-10-09,110.0
2021-10-10,70.0
2021-10-11,70.0
2021-10-12,70.0
2021-10-13,70.0
2021-10-14,70.0
2021-10-15,67.0
2021-10-16,64.0
2021-10-17,0.0
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,0.0
2021-10-21,0.0
2021-10-22,0.0
2021-10-23,0.0
2021-10-24,0.0
2021-10-25,0.0
2021-10-26,0.0
2021-10-27,0.0
2021-10-28,0.0
2021-10-29,0.0
2021-10-30,0.0
2021-10-31,0.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,0.0
2021-11-11,0.0
2021-11-12,0.0
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,0.0
2021-11-20,0.0
2021-11-21,0.0
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,0.0
2021-11-27,0.0
2021-11-28,0.0
2021-11-29,0.0
2021-11-30,0.0
2022-04-01,0.0
2022-04-02,0.0
2022-04-03,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,6.0
2022-04-09,10.0
