date,swe_mm
2023-04-01,0.0
2023-04-02,0.0
2023-04-03,0.0
2023-04-04,0.0
2023-04-05,0.0
2023-04-06,0.0
2023-04-07,0.0
2023-04-08,0.0
2023-04-09,0.0
2023-04-10,0.0
2023-04-11,0.0
2023-04-12,0.0
2023-04-13,0.0
2023-04-14,0.0
2023-04-15,0.0
2023-04-16,0.0
2023-04-17,0.0
2023-04-18,0.0
2023-04-19,0.0
2023-04-20,0.0
2023-04-21,0.0
2023-04-22,0.0
2023-04-23,0.0
2023-04-24,0.0
2023-04-25,0.0
2023-04-26,0.0
2023-04-27,0.0
2023-04-28,0.0
2023-04-29,0.0
2023-04-30,0.0
2023-05-01,0.0
2023-05-02,0.0
2023-05-03,0.0
2023-05-04,0.0
2023-05-05,0.0
2023-05-06,0.0
2023-05-07,0.0
2023-05-08,0.0
2023-05-09,0.0
2023-05-10,0.0
2023-05-11,0.0
2023-05-12,0.0
2023-05-13,0.0
2023-05-14,0.0
2023-05-15,0.0
2023-05-16,0.0
2023-05-17,0.0
2023-05-18,0.0
2023-05-19,0.0
2023-05-20,0.0
2023-05-21,0.0
2023-05-22,0.0
2023-05-23,0.0
2023-05-24,0.0
2023-05-25,0.0
2023-05-26,0.0
2023-05-27,0.0
2023-05-28,0.0
2023-05-29,0.0
2023-05-30,0.0
2023-05-31,0.0
2023-06-01,0.0
2023-06-02,0.0
2023-06-03,0.0
2023-06-04,0.0
2023-06-05,13.0
2023-06-06,13.0
2023-06-07,13.0
2023-06-08,37.0
2023-06-09,40.0
2023-06-10,40.0
2023-06-11,34.0
2023-06-12,29.0
2023-06-13,20.0
2023-06-14,24.0
2023-06-15,29.0
2023-06-16,20.0
2023-06-17,10.0
2023-06-18,19.0
2023-06-19,26.0
2023-06-20,46.0
2023-06-21,33.0
2023-06-22,30.0
2023-06-23,24.0
2023-06-24,24.0
2023-06-25,24.0
2023-06-26,21.0
2023-06-27,19.0
2023-06-28,13.0
2023-06-29,10.0
2023-06-30,13.0
2023-07-01,23.0
2023-07-02,30.0
2023-07-03,54.0
2023-07-04,81.0
2023-07-05,69.0
2023-07-06,60.0
2023-07-07,60.0
2023-07-08,61.0
2023-07-09,60.0
2023-07-10,60.0
2023-07-11,59.0
2023-07-12,54.0
2023-07-13,54.0
2023-07-14,59.0
2023-07-15,54.0
2023-07-16,54.0
2023-07-17,60.0
2023-07-18,60.0
2023-07-19,51.0
2023-07-20,60.0
2023-07-21,61.0
2023-07-22,51.0
2023-07-23,50.0
2023-07-24,59.0
2023-07-25,53.0
2023-07-26,50.0
2023-07-27,50.0
2023-07-28,67.0
2023-07-29,79.0
2023-07-30,71.0
2023-07-31,80.0
2023-08-01,70.0
2023-08-02,60.0
2023-08-03,65.0
2023-08-04,69.0
2023-08-05,79.0
2023-08-06,67.0
2023-08-07,76.0
2023-08-08,87.0
2023-08-09,83.0
2023-08-10,73.0
2023-08-11,56.0
2023-08-12,77.0
2023-08-13,93.0
2023-08-14,93.0
2023-08-15,71.0
2023-08-16,81.0
2023-08-17,84.0
2023-08-18,80.0
2023-08-19,93.0
2023-08-20,107.0
2023-08-21,113.0
2023-08-22,94.0
2023-08-23,72.0
2023-08-24,71.0
2023-08-25,61.0
2023-08-26,76.0
2023-08-27,97.0
2023-08-28,70.0
2023-08-29,86.0
2023-08-30,79.0
2023-08-31,89.0
2023-09-01,74.0
2023-09-02,56.0
2023-09-03,50.0
2023-09-04,47.0
2023-09-05,59.0
2023-09-06,63.0
2023-09-07,60.0
2023-09-08,63.0
2023-09-09,84.0
2023-09-10,74.0
2023-09-11,59.0
2023-09-12,53.0
2023-09-13,69.0
2023-09-14,89.0
2023-09-15,93.0
2023-09-16,79.0
2023-09-17,61.0
2023-09-18,69.0
2023-09-19,71.0
2023-09-20,93.0
2023-09-21,94.0
2023-09-22,90.0
2023-09-23,86.0
2023-09-24,80.0
2023-09-25,86.0
2023-09-26,94.0
2023-09-27,101.0
2023-09-28,64.0
2023-09-29,79.0
2023-09-30,90.0
2023-10-01,63.0
2023-10-02,44.0
2023-10-03,47.0
2023-10-04,34.0
2023-10-05,20.0
2023-10-06,17.0
2023-10-07,20.0
2023-10-08,10.0
2023-10-09,11.0
2023-10-10,10.0
2023-10-11,10.0
2023-10-12,9.0
2023-10-13,11.0
2023-10-14,7.0
2023-10-15,0.0
2023-10-16,0.0
2023-10-17,0.0
2023-10-18,0.0
2023-10-19,0.0
2023-10-20,0.0
2023-10-21,0.0
2023-10-22,0.0
2023-10-23,0.0
2023-10-24,0.0
2023-10-25,0.0
2023-10-26,0.0
2023-10-27,0.0
2023-10-28,0.0
2023-10-29,0.0
2023-10-30,0.0
2023-10-31,0.0
2024-04-01,0.0
2024-04-02,0.0
2024-04-03,0.0
2024-04-04,0.0
2024-04-05,0.0
2024-04-06,0.0
2024-04-07,0.0
2024-04-08,0.0
2024-04-09,0.0
2024-04-10,0.0
2024-04-11,0.0
2024-04-12,0.0
2024-04-13,0.0
2024-04-14,0.0
2024-04-15,0.0
2024-04-16,0.0
2024-04-17,0.0
2024-04-18,0.0
2024-04-19,0.0
2024-04-20,0.0
2024-04-21,0.0
2024-04-22,0.0
2024-04-23,0.0
2024-04-24,0.0
2024-04-25,0.0
2024-04-26,0.0
2024-04-27,0.0
2024-04-28,0.0
2024-04-29,0.0
2024-04-30,0.0
2024-05-01,0.0
2024-05-02,0.0
2024-05-03,20.0
2024-05-04,19.0
2024-05-05,20.0
2024-05-06,17.0
2024-05-07,20.0
2024-05-08,21.0
2024-05-09,23.0
2024-05-10,21.0
2024-05-11,20.0
2024-05-12,20.0
2024-05-13,20.0
2024-05-14,21.0
2024-05-15,23.0
2024-05-16,21.0
2024-05-17,21.0
2024-05-18,23.0
2024-05-19,26.0
2024-05-20,21.0
2024-05-21,20.0
2024-05-22,20.0
2024-05-23,20.0
2024-05-24,20.0
2024-05-25,20.0
2024-05-26,20.0
2024-05-27,20.0
2024-05-28,29.0
2024-05-29,31.0
2024-05-30,27.0
2024-05-31,30.0
2024-06-01,24.0
2024-06-02,20.0
2024-06-03,26.0
2024-06-04,30.0
2024-06-05,31.0
2024-06-06,24.0
2024-06-07,21.0
2024-06-08,20.0
2024-06-09,29.0
2024-06-10,37.0
2024-06-11,50.0
2024-06-12,50.0
2024-06-13,50.0
2024-06-14,43.0
2024-06-15,40.0
2024-06-16,41.0
2024-06-17,57.0
2024-06-18,60.0
2024-06-20,67.0
2024-06-21,30.0
2024-06-22,31.0
2024-06-23,32.0
2024-06-24,30.0
2024-06-25,36.0
2024-06-26,38.0
2024-06-27,40.0
2024-06-28,38.0
2024-06-29,39.0
2024-06-30,40.0
2024-07-01,40.0
2024-07-02,38.0
2024-07-03,39.0
2024-07-04,33.0
2024-07-05,30.0
2024-07-06,30.0
2024-07-07,33.0
2024-07-08,30.0
2024-07-09,30.0
2024-07-10,31.0
2024-07-11,30.0
2024-07-12,34.0
2024-07-13,38.0
2024-07-14,40.0
2024-07-15,40.0
2024-07-16,39.0
2024-07-17,43.0
2024-07-18,36.0
2024-07-19,30.0
2024-07-20,34.0
2024-07-21,39.0
