date,swe_mm
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,0.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,0.0
2021-05-08,0.0
2021-05-09,0.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,0.0
2021-05-13,0.0
2021-05-14,0.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,0.0
2021-05-22,0.0
2021-05-23,70.0
2021-05-24,86.0
2021-05-25,91.0
2021-05-26,91.0
2021-05-27,93.0
2021-05-28,93.0
2021-05-29,90.0
2021-05-30,93.0
2021-05-31,94.0
2021-06-01,91.0
2021-06-02,94.0
2021-06-03,97.0
2021-06-04,96.0
2021-06-05,90.0
2021-06-06,93.0
2021-06-07,100.0
2021-06-08,103.0
2021-06-09,120.0
2021-06-10,150.0
2021-06-11,146.0
2021-06-12,137.0
2021-06-13,144.0
2021-06-14,147.0
2021-06-15,146.0
2021-06-16,137.0
2021-06-17,144.0
2021-06-18,144.0
2021-06-19,140.0
2021-06-20,150.0
2021-06-21,139.0
2021-06-22,146.0
2021-06-23,144.0
2021-06-24,170.0
2021-06-25,203.0
2021-06-26,213.0
2021-06-27,207.0
2021-06-28,193.0
2021-06-29,190.0
2021-06-30,191.0
2021-07-01,200.0
2021-07-02,199.0
2021-07-03,186.0
2021-07-04,189.0
2021-07-05,189.0
2021-07-06,193.0
2021-07-07,200.0
2021-07-08,200.0
2021-07-09,200.0
2021-07-10,193.0
2021-07-11,177.0
2021-07-12,177.0
2021-07-13,174.0
2021-07-14,160.0
2021-07-15,139.0
2021-07-16,133.0
2021-07-17,131.0
2021-07-18,134.0
2021-07-19,147.0
2021-07-20,153.0
2021-07-21,163.0
2021-07-22,174.0
2021-07-23,183.0
2021-07-24,186.0
2021-07-25,186.0
2021-07-26,200.0
2021-07-27,200.0
2021-07-28,200.0
2021-07-29,200.0
2021-07-30,200.0
2021-07-31,200.0
2021-08-01,203.0
2021-08-02,200.0
2021-08-03,203.0
2021-08-04,200.0
2021-08-05,200.0
2021-08-06,210.0
2021-08-07,203.0
2021-08-08,207.0
2021-08-09,209.0
2021-08-10,200.0
2021-08-11,199.0
2021-08-12,206.0
2021-08-13,196.0
2021-08-14,196.0
2021-08-15,213.0
2021-08-16,231.0
2021-08-17,281.0
2021-08-18,359.0
2021-08-19,450.0
2021-08-20,499.0
2021-08-21,541.0
2021-08-22,554.0
2021-08-23,560.0
2021-08-24,569.0
2021-08-25,570.0
2021-08-26,570.0
2021-08-27,570.0
2021-08-28,570.0
2021-08-29,569.0
2021-08-30,567.0
2021-08-31,570.0
2021-09-01,577.0
2021-09-02,581.0
2021-09-03,596.0
2021-09-04,594.0
2021-09-05,594.0
2021-09-06,597.0
2021-09-07,606.0
2021-09-08,604.0
2021-09-09,607.0
2021-09-10,606.0
2021-09-11,603.0
2021-09-12,629.0
2021-09-13,674.0
2021-09-14,679.0
2021-09-15,680.0
2021-09-16,686.0
2021-09-17,681.0
2021-09-18,650.0
2021-09-19,657.0
2021-09-20,674.0
2021-09-21,681.0
2021-09-22,681.0
2021-09-23,681.0
2021-09-24,693.0
2021-09-25,693.0
2021-09-26,690.0
2021-09-27,689.0
2021-09-28,683.0
2021-09-29,674.0
2021-09-30,660.0
2021-10-01,650.0
2021-10-02,640.0
2021-10-03,626.0
2021-10-04,614.0
2021-10-05,604.0
2021-10-06,594.0
2021-10-07,579.0
2021-10-08,561.0
2021-10-09,547.0
2021-10-10,529.0
2021-10-11,507.0
2021-10-12,487.0
2021-10-13,473.0
2021-10-14,466.0
2021-10-15,467.0
2021-10-16,473.0
2021-10-17,464.0
2021-10-18,449.0
2021-10-19,429.0
2021-10-20,406.0
2021-10-21,377.0
2021-10-22,359.0
2021-10-23,327.0
2021-10-24,281.0
2021-10-25,211.0
2021-10-26,137.0
2021-10-27,89.0
2021-10-28,0.0
2021-10-29,0.0
2021-10-30,0.0
2021-10-31,0.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,0.0
2021-11-11,0.0
2021-11-12,0.0
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,0.0
2021-11-20,0.0
2021-11-21,0.0
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,0.0
2021-11-27,0.0
2021-11-28,0.0
2021-11-29,0.0
2021-11-30,0.0
2022-04-01,0.0
2022-04-02,0.0
2022-04-03,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-09,0.0
