date,swe_mm
1990-05-01,0.0
1990-05-02,0.0
1990-05-03,0.0
1990-05-04,0.0
1990-05-05,0.0
1990-05-06,0.0
1990-05-07,0.0
1990-05-08,1.0
1990-05-09,14.0
1990-05-10,49.0
1990-05-11,49.0
1990-05-12,46.0
1990-05-13,44.0
1990-05-14,42.0
1990-05-15,50.0
1990-05-16,28.0
1990-05-17,20.0
1990-05-18,24.0
1990-05-19,26.0
1990-05-20,35.0
1990-05-21,30.0
1990-05-22,32.0
1990-05-23,36.0
1990-05-24,28.0
1990-05-25,25.0
1990-05-26,15.0
1990-05-27,14.0
1990-05-28,20.0
1990-05-29,27.0
1990-05-30,27.0
1990-05-31,27.0
1990-06-01,27.0
1990-06-02,27.0
1990-06-03,36.0
1990-06-04,37.0
1990-06-05,37.0
1990-06-06,37.0
1990-06-07,38.0
1990-06-08,43.0
1990-06-09,40.0
1990-06-10,40.0
1990-06-11,39.0
1990-06-12,37.0
1990-06-13,38.0
1990-06-14,43.0
1990-06-15,42.0
1990-06-16,41.0
1990-06-17,45.0
1990-06-18,45.0
1990-06-19,36.0
1990-06-20,46.0
1990-06-21,45.0
1990-06-22,55.0
1990-06-23,82.0
1990-06-24,82.0
1990-06-25,75.0
1990-06-26,71.0
1990-06-27,72.0
1990-06-28,73.0
1990-06-29,73.0
1990-06-30,85.0
1990-07-01,70.0
1990-07-02,68.0
1990-07-03,67.0
1990-07-04,59.0
1990-07-05,58.0
1990-07-06,57.0
1990-07-07,63.0
1990-07-08,83.0
1990-07-09,101.0
1990-07-10,114.0
1990-07-11,118.0
1990-07-12,119.0
1990-07-13,121.0
1990-07-14,121.0
1990-07-15,122.0
1990-07-16,133.0
1990-07-17,194.0
1990-07-18,203.0
1990-07-19,203.0
1990-07-20,203.0
1990-07-21,206.0
1990-07-22,209.0
1990-07-23,219.0
1990-07-24,234.0
1990-07-25,240.0
1990-07-26,247.0
1990-07-27,255.0
1990-07-28,255.0
1990-07-29,256.0
1990-07-30,262.0
1990-07-31,266.0
1990-08-01,269.0
1990-08-02,274.0
1990-08-03,279.0
1990-08-04,267.0
1990-08-05,259.0
1990-08-06,255.0
1990-08-07,273.0
1990-08-08,269.0
1990-08-09,265.0
1990-08-10,259.0
1990-08-11,254.0
1990-08-12,247.0
1990-08-13,238.0
1990-08-14,238.0
1990-08-15,232.0
1990-08-16,228.0
1990-08-17,218.0
1990-08-18,211.0
1990-08-19,210.0
1990-08-20,205.0
1990-08-21,203.0
1990-08-22,204.0
1990-08-23,204.0
1990-08-24,209.0
1990-08-25,208.0
1990-08-26,206.0
1990-08-27,216.0
1990-08-28,201.0
1990-08-29,220.0
1990-08-30,240.0
1990-08-31,267.0
1990-09-01,275.0
1990-09-02,279.0
1990-09-03,290.0
1990-09-04,298.0
1990-09-05,305.0
1990-09-06,309.0
1990-09-07,306.0
1990-09-08,306.0
1990-09-09,306.0
1990-09-10,306.0
1990-09-11,317.0
1990-09-12,324.0
1990-09-13,324.0
1990-09-14,319.0
1990-09-15,311.0
1990-09-16,310.0
1990-09-17,306.0
1990-09-18,305.0
1990-09-19,325.0
1990-09-20,361.0
1990-09-21,381.0
1990-09-22,387.0
1990-09-23,384.0
1990-09-24,380.0
1990-09-25,378.0
1990-09-26,375.0
1990-09-27,378.0
1990-09-28,375.0
1990-09-29,378.0
1990-09-30,372.0
1990-10-01,366.0
1990-10-02,356.0
1990-10-03,348.0
1990-10-04,340.0
1990-10-05,336.0
