date,swe_mm
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,54.0
2020-05-07,64.8
2020-05-08,63.36
2020-05-09,59.76
2020-05-10,80.64
2020-05-11,88.56
2020-05-12,84.24
2020-05-13,81.36
2020-05-14,73.44
2020-05-15,62.64
2020-05-16,61.2
2020-05-17,59.76
2020-05-18,59.76
2020-05-19,55.44
2020-05-20,54.0
2020-05-21,48.96
2020-05-22,51.84
2020-05-23,61.2
2020-05-24,62.64
2020-05-25,59.76
2020-05-26,59.04
2020-05-27,52.56
2020-05-28,50.4
2020-05-29,68.4
2020-05-30,72.0
2020-05-31,72.0
2020-06-01,74.16
2020-06-02,73.44
2020-06-03,70.56
2020-06-04,73.44
2020-06-05,59.04
2020-06-06,57.6
2020-06-07,50.4
2020-06-08,48.24
2020-06-09,55.44
2020-06-10,54.0
2020-06-11,53.28
2020-06-12,53.28
2020-06-13,52.56
2020-06-14,54.0
2020-06-15,48.96
2020-06-16,54.0
2020-06-17,48.96
2020-06-18,46.8
2020-06-19,73.44
2020-06-20,72.0
2020-06-21,59.04
2020-06-22,59.04
2020-06-23,59.04
2020-06-24,57.6
2020-06-25,59.04
2020-06-26,59.76
2020-06-27,61.2
2020-06-28,64.8
2020-06-29,66.24
2020-06-30,66.24
2020-07-01,69.84
2020-07-02,66.96
2020-07-03,64.8
2020-07-04,66.24
2020-07-05,66.24
2020-07-06,66.24
2020-07-07,69.12
2020-07-08,66.96
2020-07-09,77.76
2020-07-10,85.0
2020-07-11,100.0
2020-07-12,133.92
2020-07-13,136.8
2020-07-14,136.8
2020-07-15,136.8
2020-07-16,134.64
2020-07-17,136.8
2020-07-18,131.76
2020-07-19,136.8
2020-07-20,141.12
2020-07-21,162.0
2020-07-22,176.4
2020-07-23,172.8
2020-07-24,173.52
2020-07-25,187.92
2020-07-26,206.64
2020-07-27,196.56
2020-07-28,191.52
2020-07-29,194.4
2020-07-30,194.4
2020-07-31,194.4
2020-08-01,189.36
2020-08-02,192.24
2020-08-03,189.36
2020-08-04,186.48
2020-08-05,190.08
2020-08-06,187.2
2020-08-07,187.92
2020-08-08,191.52
2020-08-09,186.48
2020-08-10,182.88
2020-08-11,187.2
2020-08-12,189.36
2020-08-13,192.24
2020-08-14,189.36
2020-08-15,187.2
2020-08-16,180.0
2020-08-17,180.0
2020-08-18,180.0
2020-08-19,172.8
2020-08-20,174.96
2020-08-21,177.84
2020-08-22,180.0
2020-08-23,177.12
2020-08-24,172.08
2020-08-25,172.8
2020-08-26,172.8
2020-08-27,169.92
2020-08-28,167.76
2020-08-29,164.88
2020-08-30,168.48
2020-08-31,172.08
2020-09-01,172.8
2020-09-02,168.48
2020-09-03,162.72
2020-09-04,160.56
2020-09-05,164.16
2020-09-06,163.44
2020-09-07,157.68
2020-09-08,144.72
2020-09-09,134.64
2020-09-10,138.96
2020-09-11,146.88
2020-09-12,158.4
2020-09-13,149.04
2020-09-14,120.24
2020-09-15,66.96
2020-09-16,28.8
2020-09-17,26.64
2020-09-18,23.76
2020-09-19,23.76
2020-09-20,24.48
2020-09-21,28.8
2020-09-22,30.96
2020-09-23,31.68
2020-09-24,36.72
2020-09-25,36.72
2020-09-26,33.84
2020-09-27,29.52
2020-09-28,29.52
2020-09-29,28.08
2020-09-30,23.76
2020-10-01,23.76
2020-10-02,21.6
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,0.0
2020-10-15,0.0
2020-10-16,0.0
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,0.0
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,0.0
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-05,0.0
2020-12-06,0.0
2020-12-07,0.0
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,0.0
2020-12-11,0.0
2020-12-12,0.0
2020-12-13,0.0
2020-12-14,0.0
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,0.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,0.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,0.0
2021-05-08,0.0
2021-05-09,0.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,0.0
2021-05-13,0.0
2021-05-14,0.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,25.0
2021-05-22,30.0
2021-05-23,30.0
2021-05-24,32.0
2021-05-25,37.0
2021-05-26,40.0
2021-05-27,35.0
2021-05-28,38.0
2021-05-29,30.0
2021-05-30,32.0
2021-05-31,35.0
2021-06-01,35.0
2021-06-02,35.0
2021-06-03,35.0
2021-06-04,35.0
2021-06-05,30.0
2021-06-06,22.0
2021-06-07,57.0
2021-06-08,114.0
2021-06-09,114.0
2021-06-10,110.0
2021-06-11,110.0
2021-06-12,110.0
2021-06-13,100.0
2021-06-14,101.0
2021-06-15,103.0
2021-06-16,100.0
2021-06-17,99.0
2021-06-18,97.0
2021-06-19,99.0
2021-06-20,106.0
2021-06-21,114.0
2021-06-22,111.0
2021-06-23,111.0
2021-06-24,109.0
2021-08-14,98.0
2021-08-15,100.0
2021-08-16,100.0
2021-08-17,122.0
2021-08-18,131.0
2021-08-19,140.0
2021-08-20,140.0
2021-08-21,146.0
2021-08-22,165.0
2021-08-23,163.0
2021-08-24,165.0
2021-08-25,171.0
2021-08-26,181.0
2021-08-27,187.0
2021-08-28,188.0
2021-08-29,190.0
2021-08-30,184.0
2021-08-31,176.0
2021-09-01,163.0
2021-09-02,150.0
2021-09-03,133.0
2021-09-04,132.0
2021-09-05,131.0
2021-09-06,125.0
2021-09-07,0.0
2021-09-08,0.0
2021-09-09,0.0
2021-09-10,0.0
2021-09-11,0.0
2021-09-12,0.0
2021-09-13,0.0
2021-09-14,0.0
2021-09-15,0.0
2021-09-16,0.0
2021-09-17,0.0
2021-09-18,0.0
2021-09-19,0.0
2021-09-20,0.0
2021-09-21,0.0
2021-09-22,0.0
2021-09-23,0.0
2021-09-24,0.0
2021-09-25,0.0
2021-09-26,0.0
2021-09-27,0.0
2021-09-28,0.0
2021-09-29,0.0
2021-09-30,0.0
2021-10-01,0.0
2021-10-02,0.0
2021-10-03,0.0
2021-10-04,0.0
2021-10-05,0.0
2021-10-06,0.0
2021-10-07,0.0
2021-10-08,0.0
2021-10-09,0.0
2021-10-10,0.0
2021-10-11,0.0
2021-10-12,0.0
2021-10-13,0.0
2021-10-14,0.0
2021-10-15,0.0
2021-10-16,0.0
2021-10-17,0.0
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,0.0
2021-10-21,0.0
2021-10-22,0.0
2021-10-23,0.0
2021-10-24,0.0
2021-10-25,0.0
2021-10-26,0.0
2021-10-27,0.0
2021-10-28,0.0
2021-10-29,0.0
2021-10-30,0.0
2021-10-31,0.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,0.0
2021-11-11,0.0
2021-11-12,0.0
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,0.0
2021-11-20,0.0
2021-11-21,0.0
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,0.0
2021-11-27,0.0
2021-11-28,0.0
2021-11-29,0.0
2021-11-30,0.0
2022-04-01,0.0
2022-04-02,0.0
2022-04-03,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-15,0.0
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,0.0
2022-05-01,136.0
2022-05-02,126.0
2022-05-03,110.0
2022-05-04,105.0
2022-05-05,106.0
2022-05-06,105.0
2022-05-07,106.0
2022-05-08,104.0
2022-05-09,94.0
2022-05-10,91.0
2022-05-11,93.0
2022-05-12,95.0
2022-05-13,100.0
2022-05-14,93.0
2022-05-15,80.0
2022-05-16,82.0
2022-05-17,87.0
2022-05-18,89.0
2022-05-19,97.0
2022-05-20,102.0
2022-05-21,120.0
2022-05-22,164.0
2022-05-23,183.0
2022-05-24,186.0
2022-05-25,185.0
2022-05-26,183.0
2022-05-27,178.0
2022-05-28,174.0
2022-05-29,174.0
2022-05-30,174.0
2022-05-31,172.0
2022-06-01,171.0
2022-06-02,169.0
2022-06-03,170.0
2022-06-04,171.0
2022-06-05,167.0
2022-06-06,147.0
2022-06-07,179.0
2022-06-08,192.0
2022-06-09,201.0
2022-06-10,198.0
2022-06-11,200.0
2022-06-12,203.0
2022-06-13,202.0
2022-06-14,201.0
2022-06-15,194.0
2022-06-16,184.0
2022-06-17,181.0
2022-06-18,181.0
2022-06-19,192.0
2022-06-20,184.0
2022-06-21,171.0
2022-06-22,178.0
2022-06-23,185.0
2022-06-24,185.0
2022-06-25,185.0
2022-06-26,187.0
2022-06-27,190.0
2022-06-28,195.0
2022-06-29,203.0
2022-06-30,206.0
2022-07-01,210.0
2022-07-02,212.0
2022-07-03,199.0
2022-07-04,193.0
2022-07-05,205.0
2022-07-06,219.0
2022-07-07,203.0
2022-07-08,198.0
2022-07-09,196.0
2022-07-10,199.0
2022-07-11,200.0
2022-07-12,200.0
2022-07-13,201.0
2022-07-14,207.0
2022-07-15,228.0
2022-07-16,233.0
2022-07-17,245.0
2022-07-18,241.0
2022-07-19,231.0
2022-07-25,315.0
2022-07-26,342.0
