date,swe_mm
2023-04-01,0.0
2023-04-02,0.0
2023-04-03,0.0
2023-04-04,0.0
2023-04-05,0.0
2023-04-06,0.0
2023-04-07,0.0
2023-04-08,0.0
2023-04-09,0.0
2023-04-10,0.0
2023-04-11,0.0
2023-04-12,0.0
2023-04-13,0.0
2023-04-14,0.0
2023-04-15,0.0
2023-04-16,0.0
2023-04-17,0.0
2023-04-18,0.0
2023-04-19,0.0
2023-04-20,0.0
2023-04-21,0.0
2023-04-22,0.0
2023-04-23,0.0
2023-04-24,0.0
2023-04-25,0.0
2023-04-26,0.0
2023-04-27,0.0
2023-04-28,0.0
2023-04-29,0.0
2023-04-30,0.0
2023-05-01,0.0
2023-05-02,0.0
2023-05-03,0.0
2023-05-04,0.0
2023-05-05,0.0
2023-05-06,0.0
2023-05-07,0.0
2023-05-08,0.0
2023-05-09,0.0
2023-05-10,0.0
2023-05-11,0.0
2023-05-12,0.0
2023-05-13,4.0
2023-05-22,39.0
2023-05-23,50.0
2023-05-24,50.0
2023-05-27,76.0
2023-05-29,96.0
2023-05-30,100.0
2023-06-03,100.0
2023-06-04,98.0
2023-06-09,93.0
2023-06-10,91.0
2023-06-11,90.0
2023-06-12,90.0
2023-06-13,90.0
2023-06-14,90.0
2023-06-15,90.0
2023-06-16,90.0
2023-06-17,90.0
2023-06-18,90.0
2023-06-19,90.0
2023-06-20,90.0
2023-06-21,96.0
2023-06-22,100.0
2023-06-25,93.0
2023-06-26,90.0
2023-06-27,90.0
2023-06-28,90.0
2023-06-29,90.0
2023-06-30,90.0
2023-07-01,90.0
2023-07-02,90.0
2023-07-03,90.0
2023-07-07,140.0
2023-07-08,140.0
2023-07-09,140.0
2023-07-10,141.0
2023-07-11,141.0
2023-07-12,149.0
2023-07-13,150.0
2023-07-14,150.0
2023-07-15,150.0
2023-07-16,149.0
2023-07-17,149.0
2023-07-18,150.0
2023-07-19,150.0
2023-07-20,150.0
2023-07-21,150.0
2023-07-22,150.0
2023-07-23,149.0
2023-07-24,146.0
2023-07-25,149.0
2023-07-26,143.0
2023-07-27,149.0
2023-07-28,150.0
2023-07-29,150.0
2023-07-30,150.0
2023-07-31,150.0
2023-08-01,150.0
2023-08-02,150.0
2023-08-03,150.0
2023-08-04,150.0
2023-08-05,151.0
2023-08-06,164.0
2023-08-07,170.0
2023-08-08,174.0
2023-08-09,179.0
2023-08-10,179.0
2023-08-11,173.0
2023-08-12,170.0
2023-08-13,177.0
2023-08-14,179.0
2023-08-15,169.0
2023-08-16,166.0
2023-08-17,170.0
2023-08-18,170.0
2023-08-19,170.0
2023-08-20,173.0
2023-08-21,176.0
2023-08-22,180.0
2023-08-23,171.0
2023-08-24,171.0
2023-08-25,171.0
2023-08-26,173.0
2023-08-27,180.0
2023-08-28,180.0
2023-08-29,183.0
2023-09-02,240.0
2023-09-03,240.0
2023-09-04,240.0
2023-09-05,240.0
2023-09-06,243.0
2023-09-07,243.0
2023-09-08,250.0
2023-09-09,250.0
2023-09-10,250.0
2023-09-11,250.0
2023-09-12,250.0
2023-09-13,273.0
2023-09-14,312.0
2023-09-15,320.0
2023-09-16,327.0
2023-09-17,330.0
2023-09-18,330.0
2023-09-19,330.0
2023-09-20,327.0
2023-09-21,330.0
2023-09-22,330.0
2023-09-23,330.0
2023-09-24,330.0
2023-09-25,330.0
2023-09-26,330.0
2023-09-27,330.0
2023-09-28,330.0
2023-09-29,330.0
2023-09-30,330.0
2023-10-01,330.0
2023-10-02,330.0
2023-10-03,330.0
2023-10-04,330.0
2023-10-05,330.0
2023-10-06,327.0
2023-10-07,330.0
2023-10-08,330.0
2023-10-09,327.0
2023-10-10,323.0
2023-10-11,320.0
2023-10-12,322.0
2023-10-13,323.0
2023-10-14,320.0
2023-10-15,323.0
2023-10-16,322.0
2023-10-17,323.0
2023-10-18,323.0
2023-10-19,322.0
2023-10-20,320.0
2023-10-21,312.0
2023-10-22,292.0
2023-10-23,235.0
2023-10-24,233.0
2023-10-25,235.0
2023-10-26,232.0
2023-10-27,230.0
2023-10-28,230.0
2023-10-29,227.0
2023-10-30,225.0
2023-10-31,227.0
2023-11-01,230.0
2023-11-02,230.0
2023-11-03,230.0
2023-11-04,228.0
2023-11-05,230.0
2023-11-06,230.0
2023-11-07,230.0
2023-11-08,225.0
2023-11-09,227.0
2023-11-10,230.0
2023-11-11,225.0
2023-11-12,225.0
2023-11-13,223.0
2023-11-14,223.0
2023-11-15,225.0
2023-11-16,225.0
2023-11-17,225.0
2023-11-18,224.0
2023-11-19,223.0
2023-11-20,222.0
2023-11-21,223.0
2023-11-22,225.0
2023-11-23,225.0
2023-11-24,223.0
2023-11-25,220.0
2023-11-26,223.0
2023-11-27,220.0
2023-11-28,220.0
2023-11-29,220.0
2023-11-30,222.0
2023-12-01,217.0
2023-12-02,215.0
2023-12-03,217.0
2023-12-04,218.0
2023-12-05,208.0
2023-12-06,198.0
2023-12-07,187.0
2023-12-08,172.0
2023-12-09,158.0
2023-12-10,145.0
2023-12-11,140.0
2023-12-12,130.0
2023-12-13,123.0
2023-12-14,107.0
2023-12-15,98.0
2023-12-16,90.0
2023-12-17,80.0
2023-12-18,70.0
2023-12-19,60.0
2023-12-20,47.0
2023-12-21,38.0
2023-12-22,30.0
2023-12-23,20.0
2023-12-24,10.0
2023-12-25,0.0
2023-12-26,0.0
2023-12-27,0.0
2023-12-28,0.0
2023-12-29,0.0
2023-12-30,0.0
2023-12-31,0.0
2024-04-01,0.0
2024-04-02,0.0
2024-04-03,0.0
2024-04-04,0.0
2024-04-05,0.0
2024-04-06,0.0
2024-04-07,0.0
2024-04-08,0.0
2024-04-09,0.0
2024-04-10,0.0
2024-04-11,0.0
2024-04-12,0.0
2024-04-13,0.0
2024-04-14,0.0
2024-04-15,0.0
2024-04-16,0.0
2024-04-17,0.0
2024-04-18,0.0
2024-04-19,0.0
2024-04-20,0.0
2024-04-21,0.0
2024-04-22,0.0
2024-04-23,0.0
2024-04-24,0.0
2024-04-25,0.0
2024-04-26,0.0
2024-04-27,0.0
2024-04-28,0.0
2024-04-29,0.0
2024-04-30,0.0
2024-05-01,70.0
2024-05-02,63.0
2024-05-03,70.0
2024-05-04,65.0
2024-05-05,60.0
2024-05-06,60.0
2024-05-07,63.0
2024-05-08,70.0
2024-05-09,74.0
2024-05-10,90.0
2024-05-11,90.0
2024-05-12,90.0
2024-05-13,100.0
2024-05-14,95.0
2024-05-15,100.0
2024-05-16,100.0
2024-05-17,100.0
2024-05-18,100.0
2024-05-19,100.0
2024-05-20,100.0
2024-05-21,100.0
2024-05-22,97.0
2024-05-23,93.0
2024-05-24,100.0
2024-05-25,105.0
2024-05-26,100.0
2024-05-27,110.0
2024-05-30,110.0
2024-05-31,110.0
2024-06-02,107.0
2024-06-03,107.0
2024-06-07,113.0
2024-06-08,110.0
2024-06-13,115.0
2024-06-14,110.0
2024-06-16,110.0
2024-06-17,110.0
2024-06-18,110.0
2024-06-20,120.0
2024-06-22,120.0
2024-06-23,125.0
2024-06-24,130.0
2024-06-25,130.0
2024-06-26,150.0
2024-06-28,150.0
2024-06-30,150.0
