date,swe_mm
2015-06-01,0.0
2015-06-02,20.0
2015-06-03,17.0
2015-06-04,13.0
2015-06-05,20.0
2015-06-06,27.0
2015-06-07,30.0
2015-06-08,20.0
2015-06-09,20.0
2015-06-10,23.0
2015-06-11,23.0
2015-06-15,17.0
2015-06-16,10.0
2015-06-17,10.0
2015-06-18,3.0
2015-06-19,7.0
2015-06-20,10.0
2015-06-21,10.0
2015-06-22,7.0
2015-06-23,0.0
2015-06-24,0.0
2015-06-25,3.0
2015-06-26,10.0
2015-06-27,13.0
2015-06-28,7.0
2015-06-29,13.0
2015-06-30,10.0
2015-07-01,13.0
2015-07-02,17.0
2015-07-03,10.0
2015-07-04,20.0
2015-07-05,27.0
2015-07-06,30.0
2015-07-07,30.0
2015-07-08,30.0
2015-07-09,13.0
2015-07-10,13.0
2015-07-11,20.0
2015-07-12,23.0
2015-07-13,37.0
2015-07-14,40.0
2015-07-15,57.0
2015-07-16,67.0
2015-07-17,90.0
2015-07-18,100.0
2015-07-19,100.0
2015-07-20,100.0
2015-07-21,100.0
2015-07-22,100.0
2015-07-23,90.0
2015-07-24,70.0
2015-07-25,50.0
2015-07-26,33.0
2015-07-27,20.0
2015-07-28,17.0
2015-07-29,20.0
2015-07-30,20.0
2015-07-31,17.0
2015-08-01,13.0
2015-08-02,43.0
2015-08-03,70.0
2015-08-04,70.0
2015-08-05,63.0
2015-08-06,60.0
2015-08-07,60.0
2015-08-08,43.0
2015-08-09,57.0
2015-08-10,53.0
2015-08-11,53.0
2015-08-12,53.0
2015-08-13,53.0
2015-08-14,67.0
2015-08-15,67.0
2015-08-16,67.0
2015-08-17,53.0
2015-08-18,40.0
2015-08-19,33.0
2015-08-20,33.0
2015-08-21,30.0
2015-08-22,27.0
2015-08-23,27.0
2015-08-24,20.0
2015-08-25,17.0
2015-08-26,20.0
2015-08-27,20.0
2015-08-28,20.0
2015-08-29,20.0
2015-08-30,20.0
2015-08-31,17.0
2015-09-01,17.0
2015-09-02,17.0
2015-09-03,17.0
2015-09-04,20.0
2015-09-05,27.0
2015-09-06,23.0
2015-09-07,23.0
2015-09-08,23.0
2015-09-09,20.0
2015-09-10,17.0
2015-09-11,20.0
2015-09-12,20.0
2015-09-13,20.0
2015-09-14,20.0
2015-09-15,17.0
2015-09-16,17.0
2015-09-17,20.0
2015-09-18,20.0
2015-09-19,20.0
2015-09-20,27.0
2015-09-21,23.0
2015-09-22,23.0
2015-09-23,27.0
2015-09-24,27.0
2015-09-25,20.0
2015-09-26,20.0
2015-09-27,23.0
2015-09-28,20.0
2015-09-29,20.0
2015-09-30,27.0
2015-10-01,23.0
2015-10-02,20.0
2015-10-03,27.0
2015-10-04,27.0
2015-10-05,27.0
2015-10-06,23.0
2015-10-07,20.0
2015-10-08,20.0
2015-10-09,20.0
2015-10-10,30.0
2015-10-11,30.0
2015-10-12,30.0
2015-10-13,30.0
2015-10-14,30.0
2015-10-15,30.0
2015-10-16,30.0
2015-10-17,30.0
2015-10-18,30.0
2015-10-19,30.0
2015-10-20,30.0
2015-10-21,30.0
2015-10-22,20.0
2015-10-23,30.0
2015-10-24,30.0
2015-10-25,20.0
2015-10-26,30.0
2015-10-27,30.0
2015-10-28,40.0
2015-10-29,30.0
2015-10-30,30.0
2015-10-31,30.0
2015-11-01,30.0
2015-11-02,40.0
2015-11-03,40.0
2015-11-04,40.0
2015-11-05,40.0
2015-11-06,40.0
2015-11-07,40.0
2015-11-08,30.0
2015-11-09,30.0
2015-11-10,30.0
2015-11-11,40.0
2015-11-12,40.0
2015-11-13,30.0
2015-11-14,30.0
2015-11-15,30.0
2015-11-16,30.0
2015-11-17,20.0
2015-11-18,20.0
2015-11-19,20.0
2015-11-20,30.0
2015-11-21,30.0
2015-11-22,30.0
2015-11-23,30.0
2015-11-24,30.0
2015-11-25,30.0
2015-11-26,30.0
2015-11-27,30.0
2015-11-28,30.0
2015-11-29,40.0
2015-11-30,40.0
2015-12-01,40.0
2015-12-02,40.0
2015-12-03,40.0
2015-12-04,40.0
2015-12-05,40.0
2015-12-06,40.0
2015-12-07,40.0
2015-12-08,40.0
2016-04-14,0.0
2016-04-15,0.0
2016-04-16,0.0
2016-04-17,0.0
2016-04-18,0.0
2016-04-19,0.0
2016-04-20,0.0
2016-04-21,0.0
2016-04-22,0.0
2016-04-23,0.0
2016-04-24,0.0
2016-04-25,0.0
2016-04-26,0.0
2016-04-27,0.0
2016-04-28,0.0
2016-04-29,0.0
2016-04-30,0.0
2016-05-01,10.0
2016-05-02,10.0
2016-05-03,10.0
2016-05-04,10.0
2016-05-05,10.0
2016-05-06,10.0
2016-05-07,10.0
2016-05-08,10.0
2016-05-09,10.0
2016-05-10,10.0
2016-05-11,10.0
2016-05-12,10.0
2016-05-13,10.0
2016-05-14,10.0
2016-05-15,10.0
2016-05-16,10.0
2016-05-17,10.0
2016-05-18,10.0
2016-05-19,10.0
2016-05-20,0.0
2016-05-21,0.0
2016-05-22,10.0
2016-05-23,10.0
2016-05-24,10.0
2016-05-25,10.0
2016-05-26,20.0
2016-05-27,20.0
2016-05-28,10.0
2016-05-29,10.0
2016-05-30,10.0
2016-05-31,10.0
2016-06-01,10.0
2016-06-02,10.0
2016-06-03,10.0
2016-06-04,10.0
2016-06-05,10.0
2016-06-06,10.0
2016-06-07,10.0
2016-06-08,10.0
2016-06-09,0.0
2016-06-10,0.0
2016-06-11,0.0
2016-06-12,0.0
2016-06-13,10.0
2016-06-14,10.0
2016-06-15,10.0
2016-06-16,10.0
2016-06-17,10.0
2016-06-18,0.0
2016-06-19,0.0
2016-06-20,0.0
2016-06-21,0.0
2016-06-22,0.0
2016-06-23,0.0
2016-06-24,0.0
2016-06-25,0.0
2016-06-26,10.0
2016-06-27,10.0
2016-06-28,10.0
2016-06-29,10.0
2016-06-30,10.0
2016-07-01,10.0
2016-07-02,10.0
2016-07-03,10.0
2016-07-04,10.0
2016-07-05,10.0
2016-07-06,20.0
2016-07-07,20.0
2016-07-08,20.0
2016-07-09,20.0
2016-07-10,20.0
2016-07-11,20.0
2016-07-12,20.0
2016-07-13,10.0
2016-07-14,30.0
2016-07-15,30.0
2016-07-16,30.0
2016-07-17,30.0
2016-07-18,30.0
2016-07-19,30.0
2016-07-20,30.0
2016-07-21,30.0
2016-07-22,30.0
2016-07-23,20.0
2016-07-24,20.0
2016-07-25,10.0
2016-07-26,20.0
2016-07-27,0.0
2016-07-28,30.0
2016-07-29,40.0
2016-07-30,40.0
2016-07-31,40.0
2016-08-01,40.0
2016-08-02,30.0
2016-08-03,40.0
2016-08-04,40.0
2016-08-05,50.0
2016-08-06,50.0
2016-08-07,50.0
2016-08-08,40.0
2016-08-09,30.0
2016-08-10,10.0
2016-08-11,20.0
2016-08-12,10.0
2016-08-13,20.0
2016-08-14,20.0
2016-08-15,30.0
2016-08-16,40.0
2016-08-17,40.0
2016-08-18,50.0
2016-08-19,60.0
2016-08-20,50.0
2016-08-21,60.0
2016-08-22,30.0
2016-08-23,20.0
2016-08-24,20.0
2016-08-25,30.0
2016-08-26,20.0
2016-08-27,20.0
2016-08-28,20.0
2016-08-29,20.0
2016-08-30,20.0
2016-08-31,30.0
2016-09-01,20.0
2016-09-02,20.0
2016-09-03,20.0
2016-09-04,20.0
2016-09-05,20.0
2016-09-06,30.0
2016-09-07,30.0
2016-09-08,20.0
2016-09-09,20.0
2016-09-10,20.0
2016-09-11,30.0
2016-09-12,30.0
2016-09-13,30.0
2016-09-14,30.0
2016-09-15,30.0
2016-09-16,30.0
2016-09-17,20.0
2016-09-18,20.0
2016-09-19,30.0
2016-09-20,30.0
2016-09-21,30.0
2016-09-22,30.0
2016-09-23,30.0
2016-09-24,30.0
2016-09-25,30.0
2016-09-26,30.0
2016-09-27,30.0
2016-09-28,30.0
2016-09-29,30.0
2016-09-30,30.0
2016-10-01,30.0
2016-10-02,30.0
2016-10-03,30.0
2016-10-04,30.0
2016-10-05,30.0
2016-10-06,30.0
2016-10-07,30.0
2016-10-08,30.0
2016-10-09,30.0
2016-10-10,30.0
2016-10-11,30.0
2016-10-12,30.0
2016-10-13,30.0
2016-10-14,30.0
2016-10-15,30.0
2016-10-16,30.0
2017-05-01,10.0
2017-05-02,10.0
2017-05-03,10.0
2017-05-04,0.0
2017-05-05,10.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,10.0
2017-05-12,0.0
2017-05-13,10.0
2017-05-14,10.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-20,0.0
2017-05-21,0.0
2017-05-22,20.0
2017-05-23,30.0
2017-05-24,30.0
2017-05-25,20.0
2017-05-26,20.0
2017-05-27,20.0
2017-05-28,20.0
2017-05-29,20.0
2017-05-30,30.0
2017-05-31,30.0
2017-06-01,20.0
2017-06-02,20.0
2017-06-03,20.0
2017-06-04,20.0
2017-06-05,10.0
2017-06-06,10.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,10.0
2017-06-10,0.0
2017-06-11,0.0
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,10.0
2017-06-16,30.0
2017-06-17,50.0
2017-06-18,50.0
2017-06-19,50.0
2017-06-20,50.0
2017-06-21,60.0
2017-06-22,70.0
2017-06-23,80.0
2017-06-24,90.0
2017-06-25,120.0
2017-06-26,120.0
2017-06-27,120.0
2017-06-28,120.0
2017-06-29,120.0
2017-06-30,120.0
2017-07-01,110.0
2017-07-02,110.0
2017-07-03,100.0
2017-07-04,100.0
2017-07-05,100.0
2017-07-06,90.0
2017-07-07,90.0
2017-07-08,90.0
2017-07-09,90.0
2017-07-10,70.0
2017-07-11,90.0
2017-07-12,90.0
2017-07-13,110.0
2017-07-14,110.0
2017-07-15,120.0
2017-07-16,120.0
2017-07-17,120.0
2017-07-18,120.0
2017-07-19,120.0
2017-07-20,120.0
2017-07-21,120.0
2017-07-22,110.0
2017-07-23,100.0
2017-07-24,110.0
2017-07-25,120.0
2017-07-26,120.0
2017-07-27,120.0
2017-07-28,120.0
2017-07-29,120.0
2017-07-30,120.0
2017-07-31,120.0
2017-08-01,110.0
2017-08-02,100.0
2017-08-03,90.0
2017-08-04,100.0
2017-08-05,110.0
2017-08-06,100.0
2017-08-07,110.0
2017-08-08,110.0
2017-08-09,110.0
2017-08-10,90.0
2017-08-11,90.0
2017-08-12,90.0
2017-08-13,80.0
2017-08-14,90.0
2017-08-15,80.0
2017-08-16,70.0
2017-08-17,70.0
2017-08-18,80.0
2017-08-19,80.0
2017-08-20,80.0
2017-08-21,80.0
2017-08-22,80.0
2017-08-23,110.0
2017-08-24,120.0
2017-08-25,130.0
2017-08-26,130.0
2017-08-27,130.0
2017-08-28,130.0
2017-08-29,130.0
2017-08-30,130.0
2017-08-31,130.0
2017-09-01,130.0
2017-09-02,120.0
2017-09-03,130.0
2017-09-04,120.0
2017-09-05,120.0
2017-09-06,120.0
2017-09-07,120.0
2017-09-08,130.0
2017-09-09,110.0
2017-09-10,110.0
2017-09-11,100.0
2017-09-12,110.0
2017-09-13,100.0
2017-09-14,80.0
2017-09-15,70.0
2017-09-16,60.0
2017-09-17,50.0
2017-09-18,30.0
2017-09-19,20.0
2017-09-20,10.0
2017-09-21,10.0
2017-09-22,10.0
2017-09-23,10.0
2017-09-24,0.0
2017-09-25,0.0
2017-09-26,0.0
2017-09-27,0.0
2017-09-28,0.0
2017-09-29,0.0
2017-09-30,0.0
2017-10-01,0.0
2017-10-02,0.0
2017-10-03,0.0
2017-10-04,0.0
2017-10-05,0.0
2017-10-06,0.0
2017-10-07,0.0
2017-10-08,0.0
2017-10-09,0.0
2017-10-10,0.0
2017-10-11,0.0
2017-10-12,0.0
2017-10-13,0.0
2017-10-14,0.0
2017-10-15,0.0
2017-10-16,0.0
2017-10-17,0.0
2017-10-18,0.0
2017-10-19,0.0
2017-10-20,0.0
2017-10-21,0.0
2017-10-22,0.0
2017-10-23,0.0
2017-10-24,0.0
2017-10-25,0.0
2017-10-26,0.0
2017-10-27,0.0
2017-10-28,0.0
2017-10-29,0.0
2017-10-30,0.0
2017-10-31,0.0
2017-11-01,0.0
2017-11-02,0.0
2017-11-03,0.0
2017-11-04,0.0
2017-11-05,0.0
2017-11-06,0.0
2017-11-07,0.0
2017-11-08,0.0
2017-11-09,0.0
2017-11-10,0.0
2017-11-11,0.0
2017-11-12,0.0
2017-11-13,0.0
2017-11-14,0.0
2017-11-15,0.0
2017-11-16,0.0
2017-11-17,0.0
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,0.0
2017-11-21,0.0
2017-11-22,0.0
2017-11-23,0.0
2017-11-24,0.0
2017-11-25,0.0
2017-11-26,0.0
2018-05-01,0.0
2018-05-02,0.0
2018-05-03,0.0
2018-05-04,0.0
2018-05-05,0.0
2018-05-06,0.0
2018-05-07,0.0
2018-05-08,0.0
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,0.0
2018-05-12,0.0
2018-05-13,0.0
2018-05-14,0.0
2018-05-15,0.0
2018-05-16,0.0
2018-05-17,0.0
2018-05-18,0.0
2018-05-19,0.0
2018-05-20,0.0
2018-05-21,0.0
2018-05-22,0.0
2018-05-23,10.0
2018-05-24,10.0
2018-05-25,10.0
2018-05-26,10.0
2018-05-27,10.0
2018-05-28,10.0
2018-05-29,20.0
2018-05-30,20.0
2018-05-31,10.0
2018-06-01,10.0
2018-06-02,20.0
2018-06-03,20.0
2018-06-04,20.0
2018-06-05,20.0
2018-06-06,30.0
2018-06-07,40.0
2018-06-08,40.0
2018-06-09,40.0
2018-06-10,50.0
2018-06-11,50.0
2018-06-12,50.0
2018-06-13,50.0
2018-06-14,50.0
2018-06-15,50.0
2018-06-16,50.0
2018-06-17,40.0
2018-06-18,20.0
2018-06-19,10.0
2018-06-20,10.0
2018-06-21,10.0
2018-06-22,0.0
2018-06-23,0.0
2018-06-24,0.0
2018-06-25,0.0
2018-06-26,0.0
2018-06-27,0.0
2018-06-28,10.0
2018-06-29,40.0
2018-06-30,60.0
2018-07-01,60.0
2018-07-02,60.0
2018-07-03,60.0
2018-07-04,60.0
2018-07-05,70.0
2018-07-06,70.0
2018-07-07,70.0
2018-07-08,70.0
2018-07-09,70.0
2018-07-10,70.0
2018-07-11,70.0
2018-07-12,80.0
2018-07-13,80.0
2018-07-14,90.0
2018-07-15,90.0
2018-07-16,90.0
2018-07-17,95.0
2018-07-18,100.0
2018-07-19,100.0
2018-07-20,100.0
2018-07-21,100.0
2018-07-22,100.0
2018-07-23,100.0
2018-07-24,100.0
2018-07-25,100.0
2018-07-26,90.0
2018-07-27,90.0
2018-07-28,80.0
2018-07-29,90.0
2018-07-30,90.0
2018-07-31,80.0
2018-08-01,90.0
2018-08-02,80.0
2018-08-03,80.0
2018-08-04,80.0
2018-08-05,70.0
2018-08-06,70.0
2018-08-07,60.0
2018-08-08,70.0
2018-08-09,60.0
2018-08-10,50.0
2018-08-11,50.0
2018-08-12,50.0
2018-08-13,50.0
2018-08-14,40.0
2018-08-15,40.0
2018-08-16,30.0
2018-08-17,20.0
2018-08-18,20.0
2018-08-19,10.0
2018-08-20,10.0
2018-08-21,10.0
2018-08-22,10.0
2018-08-23,10.0
2018-08-24,10.0
2018-08-25,10.0
2018-08-26,10.0
2018-08-27,20.0
2018-08-28,20.0
2018-08-29,20.0
2018-08-30,10.0
2018-08-31,10.0
