date,swe_mm
1990-05-01,75.0
1990-05-02,76.0
1990-05-03,96.0
1990-05-04,98.0
1990-05-05,104.0
1990-05-06,137.0
1990-05-07,223.0
1990-05-08,223.0
1990-05-09,224.0
1990-05-10,224.0
1990-05-11,225.0
1990-05-12,225.0
1990-05-13,227.0
1990-05-14,247.0
1990-05-15,326.0
1990-05-16,335.0
1990-05-17,335.0
1990-05-18,335.0
1990-05-19,342.0
1990-05-20,344.0
1990-05-21,341.0
1990-05-22,337.0
1990-05-23,337.0
1990-05-24,333.0
1990-05-25,294.0
1990-05-26,282.0
1990-05-27,279.0
1990-05-28,275.0
1990-05-29,274.0
1990-05-30,272.0
1990-05-31,272.0
1990-06-01,272.0
1990-06-02,256.0
1990-06-03,256.0
1990-06-04,256.0
1990-06-05,256.0
1990-06-06,256.0
1990-06-07,256.0
1990-06-08,256.0
1990-06-09,237.0
1990-06-13,240.0
1990-06-14,240.0
1990-06-16,240.0
1990-06-24,240.0
1990-12-11,0.0
1990-12-12,0.0
1990-12-13,0.0
1990-12-14,0.0
1990-12-15,0.0
1990-12-16,0.0
1990-12-17,0.0
1990-12-18,0.0
1990-12-19,0.0
1990-12-20,0.0
1990-12-21,0.0
1990-12-22,0.0
1990-12-23,0.0
1990-12-24,0.0
1990-12-25,0.0
1990-12-26,0.0
1990-12-27,0.0
1990-12-28,0.0
1990-12-29,0.0
1990-12-30,0.0
1990-12-31,0.0
1991-05-01,0.0
1991-05-02,0.0
1991-05-03,0.0
1991-05-04,0.0
1991-05-05,0.0
1991-05-06,0.0
1991-05-07,0.0
1991-05-08,259.0
1991-05-09,259.0
1991-05-10,272.0
1991-05-11,368.0
1991-05-12,382.0
1991-05-13,369.0
1991-05-15,403.0
1991-05-16,464.0
1991-05-17,577.0
1991-05-18,589.0
1991-05-19,586.0
1991-05-20,601.0
1991-05-21,639.0
1991-05-22,649.0
1991-05-23,649.0
1991-05-24,676.0
1991-05-25,755.0
1991-05-26,798.0
1991-05-27,967.0
1991-05-28,1114.0
1991-05-29,1172.0
1991-05-30,1171.0
1991-05-31,1171.0
1991-06-01,1315.0
1991-06-02,1317.0
1991-06-03,1321.0
1991-06-04,1389.0
1991-06-05,1404.0
1991-06-06,1409.0
1991-06-07,1415.0
1991-06-08,1418.0
1991-06-09,1422.0
1991-06-10,1423.0
1991-06-11,1423.0
1991-06-12,1423.0
1991-06-13,1423.0
1991-06-14,1424.0
1991-06-15,1424.0
1991-06-16,1426.0
1991-06-17,1438.0
1991-06-18,1449.0
1991-06-19,1488.0
1991-06-20,1509.0
1991-06-22,1616.0
1991-06-23,1624.0
1991-06-24,1628.0
1991-06-25,1628.0
1991-06-26,1648.0
1991-06-27,1664.0
1991-06-28,1667.0
1991-06-29,1668.0
1991-06-30,1668.0
1991-07-01,1669.0
1991-07-02,1666.0
1991-07-03,1666.0
1991-07-04,1665.0
1991-07-05,1665.0
1991-07-06,1664.0
1991-07-07,1667.0
1991-07-08,1679.0
1991-07-09,1718.0
1991-07-10,1722.0
1991-07-11,1723.0
1991-07-12,1789.0
1991-07-13,1816.0
1991-07-14,1820.0
1991-07-15,1826.0
1991-07-16,1831.0
1991-07-17,1831.0
1991-07-18,1838.0
1991-07-19,1848.0
1991-07-24,1953.0
1991-07-25,1955.0
1991-07-26,1957.0
1991-07-27,1957.0
1991-07-28,1957.0
1991-07-29,1957.0
1991-07-30,1963.0
1991-07-31,1973.0
1991-08-01,1979.0
1991-08-02,1980.0
1991-08-03,1982.0
1991-08-04,1984.0
1991-08-05,1985.0
1991-08-06,1993.0
1991-08-07,1999.0
1991-08-08,2008.0
1991-08-09,2014.0
1991-08-10,2022.0
1991-08-11,2023.0
1991-08-12,2026.0
1991-08-13,2036.0
1991-08-14,2040.0
1991-08-15,2046.0
1991-08-16,2048.0
1991-08-17,2049.0
1991-08-18,2050.0
1991-08-19,2050.0
1991-08-20,2050.0
1991-08-21,2050.0
1991-08-23,2050.0
1991-08-29,2043.0
1991-08-30,2041.0
1991-08-31,2039.0
1991-09-01,2036.0
1991-09-02,2036.0
1991-09-03,2033.0
1991-09-04,2029.0
1991-09-05,2026.0
1991-09-06,2021.0
1991-09-07,2016.0
1991-09-08,2015.0
1991-09-09,2014.0
1991-09-10,2011.0
1991-09-11,2006.0
1991-09-12,2014.0
1991-09-13,2014.0
1991-09-15,2012.0
1991-09-16,2019.0
1991-09-17,2066.0
1991-09-18,2103.0
1991-09-19,2112.0
1991-09-20,2139.0
1991-09-21,2149.0
1991-09-22,2150.0
1991-09-23,2159.0
1991-09-24,2164.0
1991-09-25,2167.0
1991-09-26,2169.0
1991-09-27,2171.0
1991-09-28,2171.0
1991-09-29,2171.0
1991-09-30,2171.0
1991-10-01,2171.0
1991-10-02,2172.0
1991-10-03,2172.0
1991-10-04,2170.0
1991-10-05,2167.0
1991-10-06,2166.0
1991-10-07,2164.0
1991-10-08,2162.0
1991-10-09,2160.0
1991-10-10,2159.0
1991-10-11,2158.0
1991-10-12,2155.0
1991-10-13,2153.0
1991-10-14,2150.0
1991-10-15,2150.0
1991-10-16,2150.0
1991-10-17,2150.0
1991-10-18,2149.0
1991-10-19,2149.0
1991-10-20,2148.0
1991-10-21,2144.0
1991-10-22,2139.0
1991-10-23,2134.0
1991-10-25,2111.0
1991-10-26,2094.0
1991-10-27,2070.0
1991-10-28,2053.0
1991-10-29,2026.0
1991-10-30,2009.0
1991-10-31,1976.0
1991-11-01,1932.0
1991-11-02,1891.0
1991-11-03,1850.0
1991-11-04,1789.0
1991-11-05,1753.0
1991-11-06,1729.0
1991-11-07,1729.0
1991-11-08,1729.0
1991-11-09,1729.0
