date,swe_mm
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,0.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,0.0
2021-05-08,0.0
2021-05-09,0.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,0.0
2021-05-13,0.0
2021-05-14,0.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,10.0
2021-05-22,19.0
2021-05-23,19.0
2021-05-24,23.0
2021-05-25,26.0
2021-05-26,27.0
2021-05-27,29.0
2021-05-28,26.0
2021-05-29,21.0
2021-05-30,24.0
2021-05-31,24.0
2021-06-01,23.0
2021-06-02,26.0
2021-06-03,30.0
2021-06-04,27.0
2021-06-05,24.0
2021-06-06,24.0
2021-06-07,23.0
2021-06-08,24.0
2021-06-09,23.0
2021-06-10,23.0
2021-06-11,23.0
2021-06-12,27.0
2021-06-13,29.0
2021-06-14,23.0
2021-06-15,20.0
2021-06-16,21.0
2021-06-17,21.0
2021-06-18,21.0
2021-06-19,23.0
2021-06-20,23.0
2021-06-21,21.0
2021-06-22,26.0
2021-06-23,23.0
2021-06-24,20.0
2021-06-25,20.0
2021-06-26,13.0
2021-06-27,9.0
2021-06-28,10.0
2021-06-29,16.0
2021-06-30,20.0
2021-07-01,20.0
2021-07-02,24.0
2021-07-03,26.0
2021-07-04,30.0
2021-07-05,29.0
2021-07-06,27.0
2021-07-07,26.0
2021-07-08,30.0
2021-07-09,24.0
2021-07-10,21.0
2021-07-11,26.0
2021-07-12,29.0
2021-07-13,24.0
2021-07-14,23.0
2021-07-15,26.0
2021-07-16,26.0
2021-07-17,24.0
2021-07-18,26.0
2021-07-19,27.0
2021-07-20,30.0
2021-07-21,30.0
2021-07-22,30.0
2021-07-23,30.0
2021-07-24,26.0
2021-07-25,26.0
2021-07-26,31.0
2021-07-27,26.0
2021-07-28,26.0
2021-07-29,26.0
2021-07-30,27.0
2021-07-31,26.0
2021-08-01,26.0
2021-08-02,27.0
2021-08-03,29.0
2021-08-04,29.0
2021-08-05,30.0
2021-08-06,30.0
2021-08-07,29.0
2021-08-08,24.0
2021-08-09,23.0
2021-08-10,24.0
2021-08-11,24.0
2021-08-12,24.0
2021-08-13,24.0
2021-08-14,26.0
2021-08-15,26.0
2021-08-16,39.0
2021-08-17,57.0
2021-08-18,87.0
2021-08-19,123.0
2021-08-20,144.0
2021-08-21,140.0
2021-08-22,134.0
2021-08-23,130.0
2021-08-24,130.0
2021-08-25,130.0
2021-08-26,130.0
2021-08-27,130.0
2021-08-28,130.0
2021-08-29,126.0
2021-08-30,117.0
2021-08-31,110.0
2021-09-01,107.0
2021-09-02,97.0
2021-09-03,89.0
2021-09-04,81.0
2021-09-05,77.0
2021-09-06,71.0
2021-09-07,69.0
2021-09-08,64.0
2021-09-09,58.0
2021-09-10,57.0
2021-09-11,49.0
2021-09-12,73.0
2021-09-13,90.0
2021-09-14,87.0
2021-09-15,83.0
2021-09-16,83.0
2021-09-17,83.0
2021-09-18,81.0
2021-09-19,80.0
2021-09-20,74.0
2021-09-21,39.0
2021-09-22,40.0
2021-09-23,37.0
2021-09-24,0.0
2021-09-25,0.0
2021-09-26,0.0
2021-09-27,0.0
2021-09-28,0.0
2021-09-29,0.0
2021-09-30,0.0
2021-10-01,0.0
2021-10-02,0.0
2021-10-03,0.0
2021-10-04,0.0
2021-10-05,0.0
2021-10-06,0.0
2021-10-07,0.0
2021-10-08,0.0
2021-10-09,0.0
2021-10-10,0.0
2021-10-11,0.0
2021-10-12,0.0
2021-10-13,0.0
2021-10-14,0.0
2021-10-15,0.0
2021-10-16,0.0
2021-10-17,0.0
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,0.0
2021-10-21,0.0
2021-10-22,0.0
2021-10-23,0.0
2021-10-24,0.0
2021-10-25,0.0
2021-10-26,0.0
2021-10-27,0.0
2021-10-28,0.0
2021-10-29,0.0
2021-10-30,0.0
2021-10-31,0.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,0.0
2021-11-11,0.0
2021-11-12,0.0
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,0.0
2021-11-20,0.0
2021-11-21,0.0
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,0.0
2021-11-27,0.0
2021-11-28,0.0
2021-11-29,0.0
2021-11-30,0.0
2022-04-01,0.0
2022-04-02,0.0
2022-04-03,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-09,0.0
