date,swe_mm
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,0.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,0.0
2021-05-08,0.0
2021-05-09,0.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,0.0
2021-05-13,0.0
2021-05-14,0.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,0.0
2021-05-22,0.0
2021-05-23,23.0
2021-05-24,30.0
2021-05-25,32.0
2021-05-26,37.0
2021-05-27,42.0
2021-05-28,40.0
2021-05-29,36.0
2021-05-30,37.0
2021-05-31,40.0
2021-06-01,50.0
2021-06-02,54.0
2021-06-03,40.0
2021-06-04,39.0
2021-06-05,31.0
2021-06-06,30.0
2021-06-07,49.0
2021-06-08,54.0
2021-06-09,37.0
2021-06-10,24.0
2021-06-11,30.0
2021-06-12,34.0
2021-06-13,37.0
2021-06-14,34.0
2021-06-15,29.0
2021-06-16,26.0
2021-06-17,26.0
2021-06-18,21.0
2021-06-19,20.0
2021-06-20,23.0
2021-06-21,26.0
2021-06-22,23.0
2021-06-23,26.0
2021-06-24,30.0
2021-06-25,24.0
2021-06-26,70.0
2021-06-27,90.0
2021-06-28,90.0
2021-06-29,90.0
2021-06-30,81.0
2021-07-01,76.0
2021-07-02,70.0
2021-07-03,64.0
2021-07-04,61.0
2021-07-05,60.0
2021-07-06,51.0
2021-07-07,40.0
2021-07-08,39.0
2021-07-09,31.0
2021-07-10,23.0
2021-07-11,33.0
2021-07-12,29.0
2021-07-13,27.0
2021-07-14,29.0
2021-07-15,27.0
2021-07-16,29.0
2021-07-17,27.0
2021-07-18,27.0
2021-07-19,27.0
2021-07-20,29.0
2021-07-21,34.0
2021-07-22,34.0
2021-07-23,39.0
2021-07-24,39.0
2021-07-25,31.0
2021-07-26,37.0
2021-07-27,33.0
2021-07-28,31.0
2021-07-29,34.0
2021-07-30,30.0
2021-07-31,30.0
2021-08-01,30.0
2021-08-02,29.0
2021-08-03,30.0
2021-08-04,34.0
2021-08-05,37.0
2021-08-06,40.0
2021-08-07,41.0
2021-08-08,36.0
2021-08-09,31.0
2021-08-10,29.0
2021-08-11,30.0
2021-08-12,31.0
2021-08-13,34.0
2021-08-14,34.0
2021-08-15,40.0
2021-08-16,86.0
2021-08-17,199.0
2021-08-18,319.0
2021-08-19,447.0
2021-08-20,436.0
2021-08-21,400.0
2021-08-22,363.0
2021-08-23,360.0
2021-08-24,360.0
2021-08-25,356.0
2021-08-26,350.0
2021-08-27,334.0
2021-08-28,300.0
2021-08-29,297.0
2021-08-30,289.0
2021-08-31,277.0
2021-09-01,273.0
2021-09-02,277.0
2021-09-03,273.0
2021-09-04,271.0
2021-09-05,271.0
2021-09-06,269.0
2021-09-07,261.0
2021-09-08,244.0
2021-09-09,249.0
2021-09-10,254.0
2021-09-11,254.0
2021-09-12,267.0
2021-09-13,279.0
2021-09-14,293.0
2021-09-15,296.0
2021-09-16,290.0
2021-09-17,283.0
2021-09-18,287.0
2021-09-19,287.0
2021-09-20,273.0
2021-09-21,270.0
2021-09-22,250.0
2021-09-23,227.0
2021-09-24,203.0
2021-09-25,167.0
2021-09-26,133.0
2021-09-27,99.0
2021-09-28,71.0
2021-09-29,54.0
2021-09-30,40.0
2021-10-01,34.0
2021-10-02,0.0
2021-10-03,0.0
2021-10-04,0.0
2021-10-05,0.0
2021-10-06,0.0
2021-10-07,0.0
2021-10-08,0.0
2021-10-09,0.0
2021-10-10,0.0
2021-10-11,0.0
2021-10-12,0.0
2021-10-13,0.0
2021-10-14,0.0
2021-10-15,0.0
2021-10-16,0.0
2021-10-17,0.0
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,0.0
2021-10-21,0.0
2021-10-22,0.0
2021-10-23,0.0
2021-10-24,0.0
2021-10-25,0.0
2021-10-26,0.0
2021-10-27,0.0
2021-10-28,0.0
2021-10-29,0.0
2021-10-30,0.0
2021-10-31,0.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,0.0
2021-11-11,0.0
2021-11-12,0.0
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,0.0
2021-11-20,0.0
2021-11-21,0.0
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,0.0
2021-11-27,0.0
2021-11-28,0.0
2021-11-29,0.0
2021-11-30,0.0
2022-04-01,0.0
2022-04-02,0.0
2022-04-03,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-09,0.0
