date,swe_mm
2015-06-01,0.0
2015-06-02,35.0
2015-06-03,45.0
2015-06-04,51.0
2015-06-05,52.0
2015-06-06,52.0
2015-06-07,47.0
2015-06-08,47.0
2015-06-09,47.0
2015-06-10,47.0
2015-06-11,47.0
2015-06-12,42.0
2015-06-13,37.0
2015-06-14,32.0
2015-06-15,0.0
2015-06-16,10.0
2015-06-17,12.0
2015-06-18,37.0
2015-06-19,27.0
2015-06-20,47.0
2015-06-21,47.0
2015-06-22,45.0
2015-06-23,22.0
2015-06-24,30.0
2015-06-25,57.0
2015-06-26,50.0
2015-06-27,52.0
2015-06-28,57.0
2015-06-29,50.0
2015-06-30,45.0
2015-07-01,47.0
2015-07-02,42.0
2015-07-03,17.0
2015-07-04,30.0
2015-07-05,42.0
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,0.0
2015-07-09,57.0
2015-07-10,77.0
2015-07-11,87.0
2015-07-12,94.0
2015-07-13,104.0
2015-07-14,127.0
2015-07-15,144.0
2015-07-16,137.0
2015-07-17,122.0
2015-07-18,97.0
2015-07-19,134.0
2015-07-20,172.0
2015-07-21,117.0
2015-07-22,112.0
2015-07-23,122.0
2015-07-24,114.0
2015-07-25,84.0
2015-07-26,87.0
2015-07-27,137.0
2015-07-28,175.0
2015-07-29,175.0
2015-07-30,162.0
2015-07-31,192.0
2015-08-01,200.0
2015-08-02,197.0
2015-08-03,180.0
2015-08-04,129.0
2015-08-05,172.0
2015-08-06,210.0
2015-08-07,200.0
2015-08-08,207.0
2015-08-09,207.0
2015-08-10,207.0
2015-08-11,217.0
2015-08-12,217.0
2015-08-13,225.0
2015-08-14,228.0
2015-08-15,240.0
2015-08-16,250.0
2015-08-17,240.0
2015-08-18,227.0
2015-08-19,227.0
2015-08-20,207.0
2015-08-21,197.0
2015-08-22,242.0
2015-08-23,222.0
2015-08-24,160.0
2015-08-25,202.0
2015-08-26,262.0
2015-08-27,210.0
2015-08-28,207.0
2015-08-29,185.0
2015-08-30,165.0
2015-08-31,197.0
2015-09-01,99.0
2015-09-02,122.0
2015-09-03,88.0
2015-09-04,86.0
2015-09-05,84.0
2015-09-06,102.0
2015-09-07,59.0
2015-09-08,42.0
2015-09-09,28.0
2015-09-10,14.0
2015-09-11,4.0
2015-09-12,0.0
2015-09-13,0.0
2015-09-14,0.0
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,0.0
2015-09-18,0.0
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,0.0
2015-09-22,0.0
2015-09-23,0.0
2015-09-24,0.0
2015-09-25,0.0
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,0.0
2015-09-29,0.0
2015-09-30,0.0
2015-10-01,0.0
2015-10-02,0.0
2015-10-03,0.0
