date,swe_mm
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,30.0
2020-05-15,10.0
2020-05-16,20.0
2020-05-17,40.0
2020-05-18,10.0
2020-05-19,50.0
2020-05-20,30.0
2020-05-21,10.0
2020-05-22,0.0
2020-05-23,0.0
2020-05-24,0.0
2020-05-25,0.0
2020-05-26,0.0
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,0.0
2020-06-13,0.0
2020-06-14,0.0
2020-06-15,0.0
2020-06-16,0.0
2020-06-17,0.0
2020-06-18,0.0
2020-06-19,0.0
2020-06-20,0.0
2020-06-21,0.0
2020-06-22,0.0
2020-06-23,0.0
2020-06-24,0.0
2020-06-25,0.0
2020-06-26,0.0
2020-06-27,0.0
2020-06-28,0.0
2020-06-29,0.0
2020-06-30,0.0
2020-07-01,0.0
2020-07-02,0.0
2020-07-03,0.0
2020-07-04,0.0
2020-07-05,0.0
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-11,18.0
2020-07-12,28.0
2020-07-13,20.0
2020-07-14,18.0
2020-07-15,10.0
2020-07-16,13.0
2020-07-17,8.0
2020-07-18,0.0
2020-07-19,0.0
2020-07-20,0.0
2020-07-21,18.0
2020-07-22,37.0
2020-07-23,33.0
2020-07-24,10.0
2020-07-25,10.0
2020-07-26,3.0
2020-07-27,7.0
2020-07-28,3.0
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,0.0
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,0.0
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-15,0.0
2020-08-16,10.0
2020-08-17,7.0
2020-08-18,2.0
2020-08-19,18.0
2020-08-20,7.0
2020-08-21,0.0
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,0.0
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,0.0
2020-09-11,0.0
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,0.0
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,0.0
2020-09-25,0.0
2020-09-26,0.0
2020-09-27,0.0
2020-09-28,0.0
2020-09-29,0.0
2020-09-30,0.0
2020-10-01,0.0
2020-10-02,0.0
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,0.0
2020-10-15,0.0
2020-10-16,0.0
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,0.0
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,0.0
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-05,0.0
2020-12-06,0.0
2020-12-07,0.0
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,0.0
2020-12-11,0.0
2020-12-12,0.0
2020-12-13,0.0
2020-12-14,0.0
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,0.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,0.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,90.0
2021-05-07,133.0
2021-05-08,165.0
2021-05-09,163.0
2021-05-10,140.0
2021-05-11,113.0
2021-05-12,107.0
2021-05-13,123.0
2021-05-14,110.0
2021-05-15,133.0
2021-05-16,107.0
2021-05-17,90.0
2021-05-18,123.0
2021-05-19,147.0
2021-05-20,210.0
2021-05-21,193.0
2021-05-22,210.0
2021-05-23,180.0
2021-05-24,217.0
2021-05-25,190.0
2021-05-26,185.0
2021-05-27,198.0
2021-05-28,185.0
2021-05-29,210.0
2021-05-30,200.0
2021-05-31,160.0
2021-06-01,213.0
2021-06-02,193.0
2021-06-03,185.0
2021-06-04,218.0
2021-06-05,177.0
2021-06-06,123.0
2021-06-07,63.0
2021-06-08,193.0
2021-06-09,267.0
2021-06-10,232.0
2021-06-11,208.0
2021-06-12,233.0
2021-06-13,308.0
2021-06-14,275.0
2021-06-15,260.0
2021-06-16,263.0
2021-06-17,288.0
2021-06-18,290.0
2021-06-19,264.0
2021-06-20,245.0
2021-06-21,273.0
2021-06-22,257.0
2021-06-23,208.0
2021-06-24,275.0
2021-06-25,315.0
2021-06-26,308.0
2021-06-27,278.0
2021-06-28,253.0
2021-06-29,148.0
2021-06-30,215.0
2021-07-01,280.0
2021-07-02,265.0
2021-07-03,203.0
2021-07-04,210.0
2021-07-05,190.0
2021-07-06,220.0
2021-07-07,273.0
2021-07-08,245.0
2021-07-09,280.0
2021-07-10,283.0
2021-07-11,283.0
2021-07-12,288.0
2021-07-13,297.0
2021-07-14,303.0
2021-07-15,284.0
2021-07-16,308.0
2021-07-17,303.0
2021-07-18,283.0
2021-07-19,290.0
2021-07-20,270.0
2021-07-21,220.0
2021-07-22,243.0
2021-07-23,213.0
2021-07-24,273.0
2021-07-25,308.0
2021-07-26,320.0
2021-07-27,278.0
2021-07-28,188.0
2021-07-29,175.0
2021-07-30,275.0
2021-07-31,260.0
2021-08-01,245.0
2021-08-02,265.0
2021-08-03,213.0
2021-08-04,204.0
2021-08-05,287.0
2021-08-06,348.0
2021-08-07,368.0
2021-08-08,315.0
2021-08-09,270.0
2021-08-10,283.0
2021-08-11,308.0
2021-08-12,248.0
2021-08-13,273.0
2021-08-14,248.0
2021-08-15,308.0
2021-08-16,383.0
2021-08-17,340.0
2021-08-18,385.0
2021-08-19,398.0
2021-08-20,343.0
2021-08-21,368.0
2021-08-22,323.0
2021-08-23,287.0
2021-08-24,307.0
2021-08-25,320.0
2021-08-26,360.0
2021-08-27,343.0
2021-08-28,277.0
2021-08-29,190.0
2021-08-30,300.0
2021-08-31,290.0
2021-09-01,293.0
2021-09-02,298.0
2021-09-03,283.0
2021-09-04,308.0
2021-09-05,353.0
2021-09-06,288.0
2021-09-07,273.0
2021-09-08,250.0
2021-09-09,315.0
2021-09-10,295.0
2021-09-11,320.0
2021-09-12,350.0
2021-09-13,343.0
2021-09-14,358.0
2021-09-15,288.0
2021-09-16,273.0
2021-09-17,318.0
2021-09-18,303.0
2021-09-19,295.0
2021-09-20,245.0
2021-09-21,277.0
2021-09-22,363.0
2021-09-23,260.0
2021-09-24,173.0
2021-09-25,420.0
2021-09-26,340.0
2021-09-27,345.0
2021-09-28,278.0
2021-09-29,383.0
2021-09-30,465.0
2021-10-01,433.0
2021-10-02,403.0
2021-10-03,390.0
2021-10-04,388.0
2021-10-05,433.0
2021-10-06,335.0
2021-10-07,323.0
2021-10-08,340.0
2021-10-21,0.0
2021-10-22,0.0
2021-10-23,0.0
2021-10-24,0.0
2021-10-25,0.0
2021-10-26,0.0
2021-10-27,0.0
2021-10-28,0.0
2021-10-29,0.0
2021-10-30,0.0
2021-10-31,0.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,0.0
2021-11-11,0.0
2021-11-12,0.0
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,0.0
2021-11-20,0.0
2021-11-21,0.0
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,0.0
2021-11-27,0.0
2021-11-28,0.0
2021-11-29,0.0
2021-11-30,0.0
2023-04-01,0.0
2023-04-02,0.0
2023-04-03,0.0
2023-04-04,0.0
2023-04-05,0.0
2023-04-06,0.0
2023-04-07,0.0
2023-04-08,0.0
2023-04-09,0.0
2023-04-10,0.0
2023-04-11,0.0
2023-04-12,0.0
2023-04-13,0.0
2023-04-14,0.0
2023-04-15,0.0
2023-04-16,0.0
2023-04-17,0.0
2023-04-18,0.0
2023-04-19,0.0
2023-04-20,0.0
2023-04-21,0.0
2023-04-22,0.0
2023-04-23,0.0
2023-04-24,0.0
2023-04-25,0.0
2023-04-26,0.0
2023-04-27,0.0
2023-04-28,0.0
2023-04-29,0.0
2023-04-30,0.0
2023-05-01,0.0
2023-05-02,0.0
2023-05-03,0.0
2023-05-04,0.0
2023-05-05,0.0
2023-05-06,0.0
2023-05-07,0.0
2023-05-08,0.0
2023-05-09,0.0
2023-05-10,0.0
2023-05-11,0.0
2023-05-12,0.0
2023-05-13,0.0
2023-05-14,0.0
2023-05-15,0.0
2023-05-16,0.0
2023-05-17,0.0
2023-05-18,0.0
2023-05-19,0.0
2023-05-20,0.0
2023-05-21,0.0
2023-05-22,0.0
2023-05-23,0.0
2023-05-24,0.0
2023-05-25,0.0
2023-05-26,0.0
2023-05-27,0.0
2023-05-28,0.0
2023-05-29,0.0
2023-05-30,0.0
2023-05-31,0.0
2023-06-01,0.0
2023-06-02,0.0
2023-06-03,0.0
2023-06-04,0.0
2023-06-05,0.0
2023-06-06,0.0
2023-06-07,0.0
2023-06-08,0.0
2023-06-09,0.0
2023-06-10,0.0
2023-06-11,0.0
2023-06-12,0.0
2023-06-13,0.0
