date,swe_mm
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,0.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,10.0
2020-05-24,40.0
2020-05-25,40.0
2020-05-26,40.0
2020-05-27,40.0
2020-05-28,40.0
2020-05-29,40.0
2020-05-30,80.0
2020-05-31,100.0
2020-06-01,83.0
2020-06-02,90.0
2020-06-03,104.0
2020-06-04,97.0
2020-06-05,91.0
2020-06-06,93.0
2020-06-07,104.0
2020-06-08,107.0
2020-06-09,110.0
2020-06-10,109.0
2020-06-11,110.0
2020-06-12,93.0
2020-06-13,84.0
2020-06-14,87.0
2020-06-15,90.0
2020-06-16,97.0
2020-06-17,83.0
2020-06-18,90.0
2020-06-19,88.0
2020-06-20,93.0
2020-06-21,87.0
2020-06-22,87.0
2020-06-23,82.0
2020-06-24,68.0
2020-06-25,57.0
2020-06-26,65.0
2020-06-27,70.0
2020-06-28,67.0
2020-06-29,75.0
2020-06-30,95.0
2020-07-01,122.0
2020-07-02,128.0
2020-07-03,128.0
2020-07-04,134.0
2020-07-05,132.0
2020-07-06,140.0
2020-07-07,133.0
2020-07-08,127.0
2020-07-09,130.0
2020-07-10,130.0
2020-07-11,128.0
2020-07-12,121.0
2020-07-13,117.0
2020-07-14,119.0
2020-07-15,123.0
2020-07-16,118.0
2020-07-17,115.0
2020-07-18,108.0
2020-07-19,98.0
2020-07-20,92.0
2020-07-21,112.0
2020-07-22,155.0
2020-07-23,141.0
2020-07-24,124.0
2020-07-25,131.0
2020-07-26,136.0
2020-07-27,137.0
2020-07-28,133.0
2020-07-29,119.0
2020-07-30,120.0
2020-07-31,127.0
2020-08-01,132.0
2020-08-02,130.0
2020-08-03,125.0
2020-08-04,125.0
2020-08-05,125.0
2020-08-06,125.0
2020-08-07,123.0
2020-08-08,126.0
2020-08-09,133.0
2020-08-10,133.0
2020-08-11,125.0
2020-08-12,107.0
2020-08-13,97.0
2020-08-14,101.0
2020-08-15,95.0
2020-08-16,97.0
2020-08-17,91.0
2020-08-18,84.0
2020-08-19,90.0
2020-08-20,63.0
2020-08-21,73.0
2020-08-22,91.0
2020-08-23,103.0
2020-08-24,95.0
2020-08-25,94.0
2020-08-26,87.0
2020-08-27,76.0
2020-08-28,81.0
2020-08-29,84.0
2020-08-30,91.0
2020-08-31,92.0
2020-09-01,79.0
2020-09-02,81.0
2020-09-03,87.0
2020-09-04,89.0
2020-09-05,87.0
2020-09-06,81.0
2020-09-07,81.0
2020-09-08,89.0
2020-09-09,96.0
2020-09-10,91.0
2020-09-11,97.0
2020-09-12,94.0
2020-09-13,86.0
2020-09-14,80.0
2020-09-15,80.0
2020-09-16,74.0
2020-09-17,81.0
2020-09-18,79.0
2020-09-19,69.0
2020-09-20,83.0
2020-09-21,97.0
2020-09-22,84.0
2020-09-23,70.0
2020-09-24,60.0
2020-09-25,44.0
2020-09-26,34.0
2020-09-27,19.0
2020-09-28,17.0
2020-09-29,21.0
2020-09-30,13.0
2020-10-01,6.0
2020-10-02,9.0
2020-10-03,8.0
2020-10-04,0.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,0.0
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,0.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,0.0
2021-05-08,0.0
2021-05-09,0.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,0.0
2021-05-13,0.0
2021-05-14,0.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,0.0
2021-05-22,20.0
2021-05-23,50.0
2021-05-24,59.0
2021-05-25,53.0
2021-05-26,59.0
2021-05-27,56.0
2021-05-28,54.0
2021-05-29,51.0
2021-05-30,50.0
2021-05-31,59.0
2021-06-01,66.0
2021-06-02,64.0
2021-06-03,60.0
2021-06-04,57.0
2021-06-05,56.0
2021-06-06,56.0
2021-06-07,53.0
2021-06-08,50.0
2021-06-09,43.0
2021-06-10,44.0
2021-06-11,49.0
2021-06-12,56.0
2021-06-13,54.0
2021-06-14,53.0
2021-06-15,46.0
2021-06-16,44.0
2021-06-17,43.0
2021-06-18,41.0
2021-06-19,46.0
2021-06-20,46.0
2021-06-21,43.0
2021-06-22,53.0
2021-06-23,43.0
2021-06-24,50.0
2021-06-25,53.0
2021-06-26,40.0
2021-06-27,30.0
2021-06-28,46.0
2021-06-29,46.0
2021-06-30,53.0
2021-07-01,56.0
2021-07-02,53.0
2021-07-03,53.0
2021-07-04,60.0
2021-07-05,56.0
2021-07-06,54.0
2021-07-07,57.0
2021-07-08,57.0
2021-07-09,51.0
2021-07-10,46.0
2021-07-11,54.0
2021-07-12,53.0
2021-07-13,47.0
2021-07-14,41.0
2021-07-15,37.0
2021-07-16,37.0
2021-07-17,37.0
2021-07-18,41.0
2021-07-19,39.0
2021-07-20,40.0
2021-07-21,49.0
2021-07-22,50.0
2021-07-23,49.0
2021-07-24,37.0
2021-07-25,33.0
2021-07-26,27.0
2021-07-27,30.0
2021-07-28,34.0
2021-07-29,34.0
2021-07-30,39.0
2021-07-31,40.0
2021-08-01,34.0
2021-08-02,37.0
2021-08-03,39.0
2021-08-04,37.0
2021-08-05,41.0
2021-08-06,51.0
2021-08-07,53.0
2021-08-08,43.0
2021-08-09,36.0
2021-08-10,40.0
2021-08-11,39.0
2021-08-12,44.0
2021-08-13,37.0
2021-08-14,39.0
2021-08-15,39.0
2021-08-16,44.0
2021-08-17,46.0
2021-08-18,43.0
2021-08-19,33.0
2021-08-20,49.0
2021-08-21,50.0
2021-08-22,53.0
2021-08-23,46.0
2021-08-24,41.0
2021-08-25,30.0
2021-08-26,34.0
2021-08-27,36.0
2021-08-28,47.0
2021-08-29,46.0
2021-08-30,50.0
2021-08-31,49.0
2021-09-01,44.0
2021-09-02,43.0
2021-09-03,43.0
2021-09-04,46.0
2021-09-05,50.0
2021-09-06,44.0
2021-09-07,33.0
2021-09-08,39.0
2021-09-09,46.0
2021-09-10,44.0
2021-09-11,47.0
2021-09-12,39.0
2021-09-13,33.0
2021-09-14,29.0
2021-09-15,41.0
2021-09-16,39.0
2021-09-17,41.0
2021-09-18,46.0
2021-09-19,46.0
2021-09-20,44.0
2021-09-21,47.0
2021-09-22,37.0
2021-09-23,0.0
2021-09-24,0.0
2021-09-25,0.0
2021-09-26,0.0
2021-09-27,0.0
2021-09-28,0.0
2021-09-29,0.0
2021-09-30,0.0
2021-10-01,0.0
2021-10-02,0.0
2021-10-03,0.0
2021-10-04,0.0
2021-10-05,0.0
2021-10-06,0.0
2021-10-07,0.0
2021-10-08,0.0
2021-10-09,0.0
2021-10-10,0.0
2021-10-11,0.0
2021-10-12,0.0
2021-10-13,0.0
2021-10-14,0.0
2021-10-15,0.0
2021-10-16,0.0
2021-10-17,0.0
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,0.0
2021-10-21,0.0
2021-10-22,0.0
2021-10-23,0.0
2021-10-24,0.0
2021-10-25,0.0
2021-10-26,0.0
2021-10-27,0.0
2021-10-28,0.0
2021-10-29,0.0
2021-10-30,0.0
2021-10-31,0.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,0.0
2021-11-11,0.0
2021-11-12,0.0
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,0.0
2021-11-20,0.0
2021-11-21,0.0
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,0.0
2021-11-27,0.0
2021-11-28,0.0
2021-11-29,0.0
2021-11-30,0.0
2022-04-01,0.0
2022-04-02,0.0
2022-04-03,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-15,0.0
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-07,0.0
2022-05-08,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
2022-05-13,0.0
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.0
2022-05-21,93.0
2022-05-22,93.0
2022-05-23,95.0
2022-05-24,88.0
2022-05-25,86.0
2022-05-26,83.0
2022-05-27,80.0
2022-05-28,80.0
2022-05-29,83.0
2022-05-30,94.0
2022-05-31,111.0
2022-06-01,144.0
2022-06-02,151.0
2022-06-03,183.0
2022-06-04,223.0
2022-06-05,276.0
2022-06-06,305.0
2022-06-07,300.0
2022-06-08,300.0
2022-06-09,301.0
2022-06-10,296.0
2022-06-11,290.0
2022-06-12,290.0
2022-06-13,290.0
2022-06-14,291.0
2022-06-15,291.0
2022-06-16,286.0
2022-06-17,278.0
2022-06-18,275.0
2022-06-19,275.0
2022-06-20,275.0
2022-06-21,274.0
2022-06-22,284.0
2022-06-23,286.0
2022-06-24,288.0
2022-06-25,303.0
2022-06-26,323.0
2022-06-27,309.0
2022-06-28,284.0
2022-06-29,283.0
2022-06-30,284.0
2022-07-01,284.0
2022-07-02,270.0
2022-07-03,271.0
2022-07-04,267.0
2022-07-05,259.0
2022-07-06,257.0
2022-07-07,251.0
2022-07-08,270.0
2022-07-09,277.0
2022-07-10,277.0
2022-07-11,277.0
2022-07-12,270.0
2022-07-13,281.0
2022-07-14,296.0
2022-07-15,300.0
2022-07-16,293.0
2022-07-17,283.0
2022-07-18,280.0
2022-07-19,283.0
2022-07-20,289.0
2022-07-21,290.0
2022-07-22,287.0
2022-07-23,286.0
2022-07-24,286.0
2022-07-25,291.0
2022-07-26,291.0
2022-07-27,289.0
2022-07-28,273.0
2022-07-29,259.0
2022-07-30,260.0
2022-07-31,257.0
2022-08-01,253.0
2022-08-02,256.0
2022-08-03,257.0
2022-08-04,240.0
2022-08-05,241.0
2022-08-06,250.0
2022-08-07,269.0
2022-08-08,267.0
2022-08-09,260.0
2022-08-10,270.0
2022-08-11,290.0
2022-08-12,307.0
2022-08-13,306.0
2022-08-14,316.0
2022-08-15,327.0
2022-08-16,331.0
2022-08-17,341.0
2022-08-18,340.0
2022-08-19,340.0
