date,swe_mm
2022-04-02,0.0
2022-04-03,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-15,0.0
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-07,0.0
2022-05-08,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
2022-05-13,0.0
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.0
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,0.0
2022-05-24,0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-28,0.0
2022-05-29,0.0
2022-05-30,0.0
2022-05-31,0.0
2022-06-01,20.0
2022-06-02,41.0
2022-06-03,43.0
2022-06-04,53.0
2022-06-05,50.0
2022-06-06,54.0
2022-06-07,63.0
2022-06-08,64.0
2022-06-09,60.0
2022-06-10,60.0
2022-06-11,59.0
2022-06-12,69.0
2022-06-13,71.0
2022-06-14,67.0
2022-06-15,54.0
2022-06-16,46.0
2022-06-17,44.0
2022-06-18,57.0
2022-06-19,60.0
2022-06-20,54.0
2022-06-21,49.0
2022-06-22,40.0
2022-06-23,41.0
2022-06-24,44.0
2022-06-25,44.0
2022-06-26,50.0
2022-06-27,44.0
2022-06-28,49.0
2022-06-29,54.0
2022-06-30,54.0
2022-07-01,43.0
2022-07-02,31.0
2022-07-03,36.0
2022-07-04,40.0
2022-07-05,41.0
2022-07-06,37.0
2022-07-07,53.0
2022-07-08,56.0
2022-07-09,46.0
2022-07-10,39.0
2022-07-11,30.0
2022-07-12,37.0
2022-07-13,40.0
2022-07-14,30.0
2022-07-15,26.0
2022-07-16,21.0
2022-07-17,28.0
2022-07-18,31.0
2022-07-19,51.0
2022-07-20,60.0
2022-09-21,20.0
2022-09-22,20.0
2022-09-23,30.0
2022-09-24,13.0
2022-09-25,0.0
2022-09-26,0.0
2022-09-27,0.0
2022-09-28,0.0
2022-09-29,0.0
2022-09-30,0.0
2022-10-01,0.0
2022-10-02,0.0
2022-10-03,0.0
2022-10-04,0.0
2022-10-05,0.0
2022-10-06,0.0
2022-10-07,0.0
2022-10-08,0.0
2022-10-09,0.0
2022-10-10,0.0
2022-10-11,0.0
2022-10-12,0.0
2022-10-13,0.0
2022-10-14,0.0
2022-10-15,0.0
2022-10-16,0.0
2022-10-17,0.0
2022-10-18,0.0
2023-04-01,0.0
2023-04-02,0.0
2023-04-03,0.0
2023-04-04,0.0
2023-04-05,0.0
2023-04-06,0.0
2023-04-07,0.0
2023-04-08,0.0
2023-04-09,0.0
2023-04-10,0.0
2023-04-11,0.0
2023-04-12,0.0
2023-04-13,0.0
2023-04-14,0.0
2023-04-15,0.0
2023-04-16,0.0
2023-04-17,0.0
2023-04-18,0.0
2023-04-19,0.0
2023-04-20,0.0
2023-04-21,0.0
2023-04-22,0.0
2023-04-23,0.0
2023-04-24,0.0
2023-04-25,0.0
2023-04-26,0.0
2023-04-27,0.0
2023-04-28,0.0
2023-04-29,51.0
2023-04-30,49.0
2023-05-01,51.0
2023-05-02,50.0
2023-05-03,0.0
2023-05-04,11.0
2023-05-05,14.0
2023-05-06,17.0
2023-05-07,23.0
2023-05-08,26.0
2023-05-09,30.0
2023-05-10,33.0
2023-05-11,31.0
2023-05-12,31.0
2023-05-13,33.0
2023-05-14,31.0
2023-05-15,34.0
2023-05-16,31.0
2023-05-17,24.0
2023-05-18,21.0
2023-05-19,23.0
2023-05-20,24.0
2023-05-21,14.0
2023-05-22,17.0
2023-05-23,20.0
2023-05-24,23.0
2023-05-25,16.0
2023-05-26,16.0
2023-05-27,26.0
2023-05-28,31.0
2023-05-29,27.0
2023-05-30,29.0
2023-05-31,27.0
2023-06-01,29.0
2023-06-02,21.0
2023-06-03,20.0
2023-06-04,27.0
2023-06-05,31.0
2023-06-06,30.0
2023-06-07,30.0
2023-06-08,24.0
2023-06-09,13.0
2023-06-10,10.0
2023-06-11,7.0
2023-06-12,3.0
2023-06-13,0.0
2023-06-14,39.0
2023-06-15,49.0
2023-06-16,51.0
2023-06-17,51.0
2023-06-18,51.0
2023-06-19,49.0
2023-06-20,49.0
2023-06-21,43.0
2023-06-22,70.0
2023-06-23,196.0
2023-06-24,264.0
2023-06-25,247.0
2023-06-26,250.0
2023-06-27,250.0
2023-06-28,250.0
2023-06-29,250.0
2023-06-30,241.0
2023-07-01,230.0
2023-07-02,229.0
2023-07-03,217.0
2023-07-04,210.0
2023-07-05,207.0
2023-07-06,200.0
2023-07-07,200.0
2023-07-08,193.0
2023-07-09,190.0
2023-07-10,190.0
2023-07-11,190.0
2023-07-12,190.0
2023-07-13,184.0
2023-07-14,180.0
2023-07-15,180.0
2023-07-16,180.0
2023-07-17,180.0
2023-07-18,170.0
2023-07-19,166.0
2023-07-20,146.0
2023-07-21,124.0
2023-07-22,115.0
2023-07-23,105.0
2023-07-24,94.0
2023-07-25,79.0
2023-07-26,74.0
2023-07-27,80.0
2023-07-28,81.0
2023-07-29,81.0
2023-07-30,79.0
2023-07-31,83.0
2023-08-01,83.0
2023-08-02,81.0
2023-08-03,80.0
2023-08-04,79.0
2023-08-05,81.0
2023-08-06,69.0
2023-08-07,57.0
2023-08-08,71.0
2023-08-09,74.0
2023-08-10,57.0
2023-08-11,63.0
2023-08-12,69.0
2023-08-13,67.0
2023-08-14,71.0
2023-08-15,70.0
2023-08-16,59.0
2023-08-17,49.0
2023-08-18,44.0
2023-08-19,67.0
2023-08-20,134.0
2023-08-21,76.0
2023-08-22,83.0
2023-08-23,93.0
2023-08-24,66.0
2023-08-25,61.0
2023-08-26,66.0
2023-08-27,69.0
2023-08-28,61.0
2023-08-29,69.0
2023-08-30,73.0
2023-08-31,84.0
2023-09-01,73.0
2023-09-02,69.0
2023-09-03,63.0
2023-09-04,54.0
2023-09-05,56.0
2023-09-06,71.0
2023-09-07,74.0
2023-09-08,61.0
2023-09-09,61.0
2023-09-10,0.0
2023-09-11,0.0
2023-09-12,0.0
2023-09-13,0.0
2023-09-14,0.0
2023-09-15,0.0
2023-09-16,0.0
2023-09-17,0.0
2023-09-18,0.0
2023-09-19,0.0
2023-09-20,0.0
2023-09-21,0.0
2023-09-22,0.0
2023-09-23,0.0
2023-09-24,0.0
2023-09-25,0.0
2023-09-26,0.0
2023-09-27,0.0
2023-09-28,0.0
2023-09-29,0.0
2023-09-30,0.0
2023-10-01,0.0
2023-10-02,0.0
2023-10-03,0.0
2023-10-04,0.0
2023-10-05,0.0
2023-10-06,0.0
2023-10-07,0.0
2023-10-08,0.0
2023-10-09,0.0
2023-10-10,0.0
2023-10-11,0.0
2023-10-12,0.0
2023-10-13,0.0
2023-10-14,0.0
2023-10-15,0.0
2023-10-16,0.0
2023-10-17,0.0
2023-10-18,0.0
2023-10-19,0.0
2023-10-20,0.0
2023-10-21,0.0
2023-10-22,0.0
2023-10-23,0.0
2023-10-24,0.0
2023-10-25,0.0
2023-10-26,0.0
2023-10-27,0.0
2023-10-28,0.0
2023-10-29,0.0
2023-10-30,0.0
2023-10-31,0.0
2023-11-01,0.0
2023-11-02,0.0
2023-11-03,0.0
2023-11-04,0.0
2023-11-05,0.0
2023-11-06,0.0
2023-11-07,0.0
2023-11-08,0.0
2023-11-09,0.0
2023-11-10,0.0
2023-11-11,0.0
2023-11-12,0.0
2023-11-13,0.0
2023-11-14,0.0
2023-11-15,0.0
2023-11-16,0.0
2023-11-17,0.0
