date,swe_mm
2020-02-13,0.0
2020-02-14,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,10.0
2020-05-03,10.0
2020-05-04,10.0
2020-05-05,10.0
2020-05-06,10.0
2020-05-07,10.0
2020-05-08,10.0
2020-05-09,10.0
2020-05-10,20.0
2020-05-11,10.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,10.0
2020-05-15,10.0
2020-05-16,10.0
2020-05-17,10.0
2020-05-18,10.0
2020-05-19,10.0
2020-05-20,0.0
2020-05-21,0.0
2020-05-22,0.0
2020-05-23,10.0
2020-05-24,10.0
2020-05-25,0.0
2020-05-26,10.0
2020-05-27,10.0
2020-05-28,10.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,10.0
2020-06-01,4.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,1.0
2020-06-06,9.0
2020-06-07,3.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,0.0
2020-06-12,0.0
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,0.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,0.0
2021-05-08,0.0
2021-05-09,0.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,0.0
2021-05-13,0.0
2021-05-14,0.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,0.0
2021-05-22,20.0
2021-05-23,56.0
2021-05-24,59.0
2021-05-25,61.0
2021-05-26,67.0
2021-05-27,69.0
2021-05-28,67.0
2021-05-29,60.0
2021-05-30,61.0
2021-05-31,67.0
2021-06-01,69.0
2021-06-02,67.0
2021-06-03,70.0
2021-06-04,69.0
2021-06-05,59.0
2021-06-06,61.0
2021-06-07,57.0
2021-06-08,64.0
2021-06-09,60.0
2021-06-10,57.0
2021-06-11,63.0
2021-06-12,63.0
2021-06-13,66.0
2021-06-14,64.0
2021-06-15,53.0
2021-06-16,49.0
2021-06-17,47.0
2021-06-18,49.0
2021-06-19,51.0
2021-06-20,51.0
2021-06-21,53.0
2021-06-22,61.0
2021-06-23,51.0
2021-06-24,50.0
2021-06-25,63.0
2021-06-26,64.0
2021-06-27,60.0
2021-06-28,59.0
2021-06-29,67.0
2021-06-30,70.0
2021-07-01,61.0
2021-07-02,49.0
2021-07-03,44.0
2021-07-04,53.0
2021-07-05,51.0
2021-07-06,57.0
2021-07-07,57.0
2021-07-08,70.0
2021-07-09,60.0
2021-07-10,57.0
2021-07-11,64.0
2021-07-12,60.0
2021-07-13,46.0
2021-07-14,49.0
2021-07-15,44.0
2021-07-16,50.0
2021-07-17,49.0
2021-07-18,43.0
2021-07-19,53.0
2021-07-20,60.0
2021-07-21,60.0
2021-07-22,59.0
2021-07-23,64.0
2021-07-24,56.0
2021-07-25,44.0
2021-07-26,37.0
2021-07-27,0.0
2021-07-28,36.0
2021-07-29,41.0
2021-07-30,53.0
2021-07-31,56.0
2021-08-01,49.0
2021-08-02,53.0
2021-08-03,51.0
2021-08-04,51.0
2021-08-05,61.0
2021-08-06,63.0
2021-08-07,57.0
2021-08-08,44.0
2021-08-09,37.0
2021-08-10,36.0
2021-08-11,37.0
2021-08-12,40.0
2021-08-13,47.0
2021-08-14,50.0
2021-08-15,51.0
2021-08-16,54.0
2021-08-17,81.0
2021-08-18,170.0
2021-08-19,266.0
2021-08-20,221.0
2021-08-21,164.0
2021-08-22,129.0
2021-08-23,120.0
2021-08-24,117.0
2021-08-25,107.0
2021-08-26,97.0
2021-08-27,93.0
2021-08-28,77.0
2021-08-29,59.0
2021-08-30,56.0
2021-08-31,46.0
2021-09-01,47.0
2021-09-02,47.0
2021-09-03,50.0
2021-09-04,39.0
2021-09-05,36.0
2021-09-06,34.0
2021-09-07,23.0
2021-09-08,24.0
2021-09-09,43.0
2021-09-10,40.0
2021-09-11,36.0
2021-09-12,27.0
2021-09-13,20.0
2021-09-14,13.0
2021-09-15,24.0
2021-09-16,34.0
2021-09-17,47.0
2021-09-18,47.0
2021-09-19,46.0
2021-09-20,39.0
2021-09-21,0.0
2021-09-22,0.0
2021-09-23,0.0
2021-09-24,0.0
2021-09-25,0.0
2021-09-26,0.0
2021-09-27,0.0
2021-09-28,0.0
2021-09-29,0.0
2021-09-30,0.0
2021-10-01,0.0
2021-10-02,0.0
2021-10-03,0.0
2021-10-04,0.0
2021-10-05,0.0
2021-10-06,0.0
2021-10-07,0.0
2021-10-08,0.0
2021-10-09,0.0
2021-10-10,0.0
2021-10-11,0.0
2021-10-12,0.0
2021-10-13,0.0
2021-10-14,0.0
2021-10-15,0.0
2021-10-16,0.0
2021-10-17,0.0
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,0.0
2021-10-21,0.0
2021-10-22,0.0
2021-10-23,0.0
2021-10-24,0.0
2021-10-25,0.0
2021-10-26,0.0
2021-10-27,0.0
2021-10-28,0.0
2021-10-29,0.0
2021-10-30,0.0
2021-10-31,0.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,0.0
2021-11-11,0.0
2021-11-12,0.0
2021-11-13,0.0
2021-11-14,0.0
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,0.0
2021-11-20,0.0
2021-11-21,0.0
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-25,0.0
2021-11-26,0.0
2021-11-27,0.0
2021-11-28,0.0
2021-11-29,0.0
2021-11-30,0.0
2022-04-01,0.0
2022-04-02,0.0
2022-04-03,0.0
2022-04-04,0.0
2022-04-05,0.0
2022-04-06,0.0
2022-04-07,0.0
2022-04-08,0.0
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,0.0
2022-04-12,0.0
2022-04-13,0.0
2022-04-14,0.0
2022-04-15,0.0
2022-04-16,0.0
2022-04-17,0.0
2022-04-18,0.0
2022-04-19,0.0
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-04-30,0.0
2022-05-01,0.0
2022-05-02,0.0
2022-05-03,0.0
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,0.0
2022-05-07,0.0
2022-05-08,0.0
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,0.0
2022-05-12,0.0
2022-05-13,0.0
2022-05-14,0.0
2022-05-15,0.0
2022-05-16,0.0
2022-05-17,0.0
2022-05-18,0.0
2022-05-19,0.0
2022-05-20,0.0
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,0.0
2022-05-24,0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-28,0.0
