date,swe_mm
2020-02-13,0.0
2020-02-14,0.0
2020-03-08,0.0
2020-03-09,0.0
2020-03-10,0.0
2020-03-11,0.0
2020-03-12,0.0
2020-03-13,0.0
2020-03-14,0.0
2020-03-15,0.0
2020-03-16,0.0
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-20,0.0
2020-03-21,0.0
2020-03-22,0.0
2020-03-23,0.0
2020-03-24,0.0
2020-03-25,0.0
2020-03-26,0.0
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,0.0
2020-04-06,0.0
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,50.0
2020-05-03,40.0
2020-05-04,40.0
2020-05-05,40.0
2020-05-06,50.0
2020-05-07,50.0
2020-05-08,40.0
2020-05-09,30.0
2020-05-10,50.0
2020-05-11,60.0
2020-05-12,60.0
2020-05-13,60.0
2020-05-14,60.0
2020-05-15,60.0
2020-05-16,60.0
2020-05-17,60.0
2020-05-18,60.0
2020-05-19,70.0
2020-05-20,60.0
2020-05-21,60.0
2020-05-22,40.0
2020-05-23,50.0
2020-05-24,60.0
2020-05-25,60.0
2020-05-26,60.0
2020-05-27,60.0
2020-05-28,50.0
2020-05-29,70.0
2020-05-30,60.0
2020-05-31,60.0
2020-06-01,57.0
2020-06-02,59.0
2020-06-03,59.0
2020-06-04,59.0
2020-06-05,56.0
2020-06-06,64.0
2020-06-07,61.0
2020-06-08,57.0
2020-06-09,59.0
2020-06-10,59.0
2020-06-11,58.0
2020-06-12,57.0
2020-06-13,56.0
2020-06-14,57.0
2020-06-15,50.0
2020-06-16,66.0
2020-06-17,60.0
2020-06-18,55.0
2020-06-19,55.0
2020-06-20,58.0
2020-06-21,60.0
2020-06-22,58.0
2020-06-23,63.0
2020-06-24,42.0
2020-06-25,40.0
2020-06-26,50.0
2020-06-27,55.0
2020-06-28,53.0
2020-06-29,62.0
2020-06-30,88.0
2020-07-01,70.0
2020-07-02,61.0
2020-07-03,61.0
2020-07-04,79.0
2020-07-05,96.0
2020-07-06,67.0
2020-07-07,54.0
2020-07-08,64.0
2020-07-09,64.0
2020-07-10,61.0
2020-07-11,63.0
2020-07-12,67.0
2020-07-13,60.0
2020-07-14,56.0
2020-07-15,64.0
2020-07-16,57.0
2020-07-17,60.0
2020-07-18,60.0
2020-07-19,63.0
2020-07-20,63.0
2020-07-21,59.0
2020-07-22,46.0
2020-07-23,41.0
2020-07-24,41.0
2020-07-25,56.0
2020-07-26,60.0
2020-07-27,73.0
2020-07-28,67.0
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,0.0
2020-08-01,0.0
2020-08-02,0.0
2020-08-03,0.0
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-08,0.0
2020-08-09,0.0
2020-08-10,0.0
2020-08-11,0.0
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-15,0.0
2020-08-16,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,0.0
2020-08-20,0.0
2020-08-21,0.0
2020-08-22,0.0
2020-08-23,0.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-29,0.0
2020-08-30,0.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,0.0
2020-09-04,0.0
2020-09-05,0.0
2020-09-06,0.0
2020-09-07,0.0
2020-09-08,0.0
2020-09-09,0.0
2020-09-10,0.0
2020-09-11,0.0
2020-09-12,0.0
2020-09-13,0.0
2020-09-14,0.0
2020-09-15,0.0
2020-09-16,0.0
2020-09-17,0.0
2020-09-18,0.0
2020-09-19,0.0
2020-09-20,0.0
2020-09-21,0.0
2020-09-22,0.0
2020-09-23,0.0
2020-09-24,0.0
2020-09-25,0.0
2020-09-26,0.0
2020-09-27,0.0
2020-09-28,0.0
2020-09-29,0.0
2020-09-30,0.0
2020-10-01,0.0
2020-10-02,0.0
2020-10-03,0.0
2020-10-04,0.0
2020-10-05,0.0
2020-10-06,0.0
2020-10-07,0.0
2020-10-08,0.0
2020-10-09,0.0
2020-10-10,0.0
2020-10-11,0.0
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,0.0
2020-10-15,0.0
2020-10-16,0.0
2020-10-17,0.0
2020-10-18,0.0
2020-10-19,0.0
2020-10-20,0.0
2020-10-21,0.0
2020-10-22,0.0
2020-10-23,0.0
2020-10-24,0.0
2020-10-25,0.0
2020-10-26,0.0
2020-10-27,0.0
2020-10-28,0.0
2020-10-29,0.0
2020-10-30,0.0
2020-10-31,0.0
2020-11-01,0.0
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,0.0
2020-11-24,0.0
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,0.0
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-05,0.0
2020-12-06,0.0
2020-12-07,0.0
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,0.0
2020-12-11,0.0
2020-12-12,0.0
2020-12-13,0.0
2020-12-14,0.0
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,0.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-05-01,0.0
2021-05-02,0.0
2021-05-03,0.0
2021-05-04,0.0
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,0.0
2021-05-08,0.0
2021-05-09,0.0
2021-05-10,0.0
2021-05-11,0.0
2021-05-12,0.0
2021-05-13,0.0
2021-05-14,0.0
2021-05-15,0.0
2021-05-16,0.0
2021-05-17,0.0
2021-05-18,0.0
2021-05-19,0.0
2021-05-20,0.0
2021-05-21,0.0
2021-05-22,20.0
2021-05-23,26.0
2021-05-24,28.0
2021-05-25,28.0
2021-05-26,30.0
2021-05-27,30.0
2021-05-28,28.0
2021-05-29,26.0
2021-05-30,27.0
2021-05-31,30.0
2021-06-01,24.0
2021-06-02,27.0
2021-06-03,29.0
2021-06-04,30.0
2021-06-05,27.0
2021-06-06,26.0
2021-06-07,21.0
2021-06-08,26.0
2021-06-09,26.0
2021-06-10,23.0
2021-06-11,23.0
2021-06-12,26.0
2021-06-13,29.0
2021-06-14,27.0
2021-06-15,19.0
2021-06-16,17.0
2021-06-17,16.0
2021-06-18,16.0
2021-06-19,17.0
2021-06-20,20.0
2021-06-21,21.0
2021-06-22,23.0
2021-06-23,17.0
2021-06-24,14.0
2021-06-25,23.0
2021-06-26,44.0
2021-06-27,34.0
2021-06-28,31.0
2021-06-29,39.0
2021-06-30,46.0
2021-07-01,39.0
2021-07-02,40.0
2021-07-03,36.0
2021-07-04,41.0
2021-07-05,43.0
2021-07-06,44.0
2021-07-07,46.0
