date,depth_cm
1957-07-03,0
1957-07-30,60.7
1957-08-31,55.1
1957-09-21,63
1957-10-03,65.8
1957-10-31,0
1958-06-13,0
1958-06-20,23.1
1958-06-27,10.2
1958-07-24,106.4
1958-08-01,90.9
1958-08-28,80
1958-10-02,42.7
1958-10-17,0
1959-06-18,0
1959-07-01,0
1959-07-23,0
1959-07-31,39.1
1959-08-06,49
1959-08-14,69.6
1959-08-19,72.6
1959-09-01,57.1
1959-09-10,36.3
1959-09-18,0
1959-09-21,26.9
1959-09-29,11.4
1959-10-07,0
1959-10-21,50.8
1959-10-31,0
1960-04-22,0
1960-04-29,6.3
1960-05-06,51.6
1960-05-12,85.9
1960-05-17,108.7
1960-05-23,94.7
1960-05-31,82.5
1960-06-09,85.3
1960-06-16,114.8
1960-06-23,124
1960-06-29,124
1960-07-06,140
1960-07-12,129.5
1960-07-21,142.5
1960-08-01,112.5
1960-08-10,134.6
1960-08-15,167.6
1960-08-23,151.1
1960-09-02,141
1960-09-08,153.9
1960-09-15,121.4
1960-09-21,111.8
1960-09-30,103.4
1960-10-07,87.1
1960-10-13,64.8
1960-10-19,25.4
1960-10-27,0
1961-06-12,0
1961-06-19,46.5
1961-06-28,49.5
1961-07-06,74.7
1961-07-12,82.3
1961-07-19,76.5
1961-07-26,105.7
1961-07-31,114
1961-08-09,112.3
1961-08-16,99.3
1961-08-21,102.9
1961-08-24,108
1961-08-30,109
1961-09-07,105.4
1961-09-12,89.4
1961-09-19,87.1
1961-09-28,37.8
1961-10-04,3.8
1961-10-10,0
1962-05-23,0
1962-05-30,52.8
1962-06-06,35.8
1962-06-12,18.8
1962-06-21,0
1962-06-28,0
1962-07-03,0
1962-07-11,0
1962-07-26,26.2
1962-07-31,25.1
1962-08-03,65.3
1962-08-07,65.3
1962-08-16,53.3
1962-08-23,58.4
1962-08-29,57.1
1962-09-05,23.9
1962-09-11,26.7
1962-09-20,7.6
1962-09-27,0
1962-10-11,22.9
1962-10-16,0
1962-10-26,14.2
1962-10-27,0
1963-06-14,0
1963-06-21,26.2
1963-06-28,12.4
1963-07-05,21.6
1963-07-12,42.7
1963-07-19,55.4
1963-07-26,71.1
1963-08-02,97.8
1963-08-09,88.4
1963-08-16,99.3
1963-08-23,82.8
1963-08-30,104.6
1963-09-06,105.2
1963-09-13,110.5
1963-09-20,101.6
1963-09-27,80
1963-10-04,55.4
1963-10-11,6.1
1963-10-15,0
1964-05-29,0
1964-06-05,38.1
1964-06-12,25.7
1964-06-19,17.5
1964-06-26,0
1964-06-30,28.7
1964-07-09,52.1
1964-07-22,168.7
1964-07-28,193
1964-08-05,199.1
1964-08-12,234.4
1964-08-20,233.2
1964-08-26,208
1964-09-04,167.4
1964-09-09,177.8
1964-09-18,168.9
1964-09-25,110.7
1964-10-02,70.9
1964-10-07,113
1964-10-09,105.2
1964-10-16,83.3
1964-10-23,29.2
1964-11-04,0
1965-05-11,0
1965-05-18,20.3
1965-05-25,20.8
1965-06-01,33.3
1965-06-07,20.6
1965-06-15,19.8
1965-06-24,28.2
1965-07-01,24.1
1965-07-08,13
1965-07-15,19.3
1965-07-22,30
1965-07-28,70.6
1965-08-05,73.2
1965-08-12,87.4
1965-08-19,65.5
1965-08-25,81.5
1965-09-02,56.9
1965-09-09,22.4
1965-09-16,13.5
1965-09-23,6.6
1965-09-29,0
1965-10-07,47.2
1965-11-12,57.4
1965-11-16,0
1966-05-27,0
1966-06-03,21.8
1966-06-10,15.2
1966-06-17,0
1966-06-24,0
1966-07-01,0
1966-07-08,25.7
1966-07-15,41.1
1966-07-22,49.8
1966-07-30,110.5
1966-08-05,99.1
1966-08-12,111
1966-08-19,102.6
1966-08-26,120.7
1966-09-02,99.1
1966-09-09,88.6
1966-09-16,65.5
1966-09-23,82.5
1966-09-30,60.7
1966-10-07,47.2
1966-10-14,16.8
1966-10-21,0
1967-07-07,0
1967-07-14,22.1
1967-07-21,51.8
1967-07-27,40.6
1967-07-31,43.2
1967-08-04,48.8
1967-08-11,51.8
1967-08-18,62
1967-08-25,50
1967-08-31,63.8
1967-09-08,63
1967-09-15,55.6
1967-09-22,56.4
1967-09-29,17
1967-10-06,0
1968-05-23,0
1968-05-30,97.8
1968-06-07,106.4
1968-06-13,100.3
1968-06-19,90.7
1968-06-27,100.6
1968-07-04,99.1
1968-07-10,95.3
1968-07-18,128.3
1968-07-25,138.4
1968-08-02,146.1
1968-08-08,144.8
1968-08-15,179.8
1968-08-23,221
1968-08-30,206.5
1968-09-04,191.5
1968-09-13,176.8
1968-09-20,149.6
1968-09-27,155.4
1968-10-04,174
1968-10-11,138.2
1968-10-18,83.1
1968-10-25,51.3
1968-10-31,27.4
1968-11-07,0
