date,depth_cm
1954-06-10,0
1954-06-17,48
1954-07-01,53.6
1954-07-06,57.4
1954-07-27,110.7
1954-08-02,102.4
1954-08-18,113.5
1954-08-30,69.8
1954-09-07,88.1
1954-09-20,81.8
1954-09-27,62.7
1954-10-05,21.3
1954-10-12,0
1955-06-01,0
1955-06-06,24.9
1955-06-16,0
1955-06-27,61
1955-07-04,60.2
1955-07-13,72.4
1955-07-19,97.3
1955-07-26,101.3
1955-07-30,162.3
1955-08-05,145.5
1955-08-06,209.3
1955-08-22,210.6
1955-08-24,208
1955-08-25,207.5
1955-08-26,215.1
1955-08-29,229.6
1955-09-02,216.9
1955-09-05,212.6
1955-09-10,213.4
1955-09-20,171.2
1955-09-26,128.5
1955-09-30,130.6
1955-10-06,113
1955-10-10,86.4
1955-10-26,20.8
1955-11-02,3.8
1955-11-09,19.3
1955-11-28,0
1956-06-12,0
1956-06-19,132.8
1956-06-27,133.3
1956-07-24,213.9
1956-07-27,225.3
1956-09-05,315.2
1956-09-07,312.7
1956-09-11,318.3
1956-09-18,299.5
1956-09-21,288.8
1956-09-27,294.4
1956-10-06,297.4
1956-10-12,272.8
1956-10-18,255.8
1956-10-22,254
1956-10-24,247.4
1956-10-29,227.3
1956-11-06,211.8
1956-11-14,177.5
1956-11-22,152.7
1956-11-30,81.3
1956-12-07,34
1956-12-13,0
1957-07-03,0
1957-07-12,70.9
1957-07-17,72.1
1957-07-23,76.2
1957-07-26,75.9
1957-08-05,72.9
1957-08-14,138.9
1957-08-24,132.8
1957-08-27,117.1
1957-09-05,115.3
1957-09-13,114
1957-09-17,135.4
1957-09-23,132.8
1957-09-26,129.5
1957-09-28,133.1
1957-10-02,151.4
1957-10-10,124.5
1957-10-15,142.5
1957-10-19,128.8
1957-10-22,93
1957-10-24,79.2
1957-10-28,53.6
1957-10-31,29.2
1957-11-06,0
1957-11-08,0
1957-11-20,35.6
1957-12-04,0
1958-05-20,0
1958-05-27,48.5
1958-05-31,45.2
1958-06-06,32
1958-06-10,31.5
1958-06-21,33.3
1958-06-26,34
1958-06-30,53.8
1958-07-07,57.4
1958-07-14,78.5
1958-07-21,180.8
1958-07-23,179.8
1958-07-28,184.7
1958-07-29,171.2
1958-08-02,188
1958-08-05,182.1
1958-08-07,181.1
1958-08-11,200.4
1958-08-13,184.7
1958-08-14,180.6
1958-08-18,193.8
1958-08-21,203.7
1958-08-25,201.4
1958-08-28,207.3
1958-09-03,212.1
1958-09-08,214.1
1958-09-15,221.7
1958-09-18,220.7
1958-09-22,232.7
1958-09-29,210.6
1958-10-02,207.3
1958-10-07,200.9
1958-10-13,166.9
1958-10-17,155.2
1958-10-20,164.8
1958-10-22,161.5
1958-10-27,163.1
1958-11-03,119.4
1958-11-06,87.4
1958-11-10,54.4
1958-11-13,26.9
1958-11-17,24.4
1958-11-24,0
1958-11-26,0
1959-06-09,0
1959-06-16,23.1
1959-06-22,20.3
1959-06-25,15
1959-06-29,11.7
1959-07-06,13.2
1959-07-13,14.5
1959-07-18,16.8
1959-07-20,13
1959-07-24,9.9
1959-07-27,14
1959-07-29,29
1959-08-03,38.6
1959-08-04,49.3
1959-08-05,85.6
1959-08-06,122.7
1959-08-07,119.4
1959-08-10,117.6
1959-08-13,146.6
1959-08-14,147.3
1959-08-17,145.5
1959-08-20,136.4
1959-08-24,140.2
1959-08-27,141.2
1959-08-31,138.2
1959-09-01,134.9
1959-09-07,129
1959-09-11,111.5
1959-09-14,94.2
1959-09-16,71.9
1959-09-21,103.4
1959-09-23,99.3
1959-09-28,103.1
1959-09-29,109
1959-09-30,115.3
1959-10-01,117.6
1959-10-06,101.9
1959-10-09,87.4
1959-10-12,58.2
1959-10-15,61.2
1959-10-19,53.1
1959-10-20,83.1
1959-10-21,119.4
1959-10-22,110.2
1959-10-24,90.4
1959-10-26,63.2
1959-10-30,22.4
1959-11-02,10.7
1959-11-05,0
1960-04-20,0
1960-04-27,33.8
1960-04-30,40.4
1960-05-02,32
1960-05-09,148.8
1960-05-13,165.9
1960-05-16,201.7
1960-05-20,168.7
1960-05-23,167.4
1960-05-30,163.1
1960-06-06,160
1960-06-09,166.6
1960-06-14,181.1
1960-06-17,216.7
1960-06-20,214.1
1960-06-23,213.1
1960-06-27,211.1
1960-07-04,242.3
1960-07-11,228.3
1960-07-14,200.4
1960-07-18,212.3
1960-07-21,232.4
1960-07-25,233.9
1960-08-01,228.9
1960-08-08,231.1
1960-08-10,241.6
1960-08-15,273.6
1960-08-19,279.1
1960-08-22,281.9
1960-08-29,277.1
1960-09-06,286.8
1960-09-12,292.9
1960-09-19,272.5
1960-09-26,293.1
1960-10-04,259.1
1960-10-10,247.7
1960-10-18,232.2
1960-10-25,208.8
1960-10-31,159
1960-11-07,141.7
1960-11-14,91.7
1960-11-21,45.5
1960-11-28,12.2
1960-11-30,0
1961-04-29,0
1961-05-05,11.2
1961-06-02,0
1961-06-20,79.2
1961-06-26,72.9
1961-07-03,86.1
1961-07-10,143
1961-07-17,133.6
1961-07-24,159.3
1961-07-31,177.8
1961-08-07,166.9
1961-08-14,161.5
1961-08-17,156.2
1961-08-21,150.6
1961-08-28,166.6
1961-09-04,188.2
1961-09-11,186.4
1961-09-18,192.3
1961-09-25,175
1961-10-03,140.7
1961-10-09,101.1
1961-10-16,46
1961-10-23,0
1962-05-21,0
1962-05-28,102.4
1962-05-31,88.4
1962-06-05,101.6
1962-06-06,91.7
1962-06-11,91.2
1962-06-18,97.3
1962-06-25,96.3
1962-07-02,103.9
1962-07-09,103.9
1962-07-16,108.7
1962-07-23,112.5
1962-07-26,140.5
1962-07-30,140.2
1962-08-06,176
1962-08-13,175.5
1962-08-20,182.1
1962-08-27,183.4
1962-09-03,174
1962-09-05,167.4
1962-09-10,184.2
1962-09-17,194.1
1962-09-24,181.9
1962-09-25,177.5
1962-10-02,194.1
1962-10-08,212.3
1962-10-15,191.8
1962-10-22,158.2
1962-10-29,149.9
1962-11-05,137.4
1962-11-12,73.9
1962-11-19,16.8
1962-11-26,0
1963-06-17,0
1963-06-24,18.8
1963-07-01,26.4
1963-07-08,30.7
1963-07-15,64.8
1963-07-22,93.5
1963-07-29,125.2
1963-08-01,126.7
1963-08-06,146.6
1963-08-12,137.4
1963-08-19,157.2
1963-08-26,159.8
1963-09-02,163.6
1963-09-09,178.8
1963-09-16,192.3
1963-09-23,177.5
1963-09-30,160.8
1963-10-08,128.5
1963-10-14,104.4
1963-10-21,57.4
1963-10-28,0
1964-05-25,0
1964-06-02,54.9
1964-06-08,50.8
1964-06-16,55.6
1964-06-22,76.5
1964-06-29,106.7
1964-07-06,155.7
1964-07-20,308.4
1964-07-27,302
1964-08-06,324.9
1964-08-11,355.6
1964-08-17,347.2
1964-08-26,309.6
1964-08-31,303
1964-09-08,287.3
1964-09-14,286
1964-09-21,298.2
1964-09-28,302
1964-10-06,309.1
1964-10-12,295.4
1964-10-19,269.2
1964-10-26,234.7
1964-11-02,197.1
1964-11-09,177.5
1964-11-16,102.4
1964-11-23,40.9
1964-11-30,5.1
1964-12-02,0
1965-05-18,0
1965-05-25,35.6
1965-06-01,59.7
1965-06-07,54.9
1965-06-15,55.1
1965-06-21,53.6
1965-06-28,60.5
1965-07-05,59.2
1965-07-12,57.4
1965-07-19,75.2
1965-07-26,78.7
1965-08-02,106.9
1965-08-09,125.5
1965-08-16,93
1965-08-23,146.3
1965-08-30,133.9
1965-09-06,100.8
1965-09-13,96.8
1965-09-20,128.5
1965-09-27,73.9
1965-10-04,51.6
1965-10-11,18
1965-10-18,8.9
1965-10-20,0
1965-11-11,42.9
1965-11-18,0
1966-05-23,0
1966-05-30,7.4
1966-06-06,40.9
1966-06-14,38.9
1966-06-20,46.7
1966-06-27,55.1
1966-07-04,47.2
1966-07-11,53.6
1966-07-14,66.8
1966-07-27,152.7
1966-08-01,143.3
1966-08-08,132.1
1966-08-15,168.4
1966-08-22,176.3
1966-08-29,172.5
1966-09-05,153.4
1966-09-12,145.5
1966-09-15,138.2
1966-09-19,154.2
1966-09-26,176.3
1966-10-04,150.1
1966-10-10,148.8
1966-10-12,138.2
1966-10-18,99.1
1966-10-21,78.7
1966-10-24,65.3
1966-11-01,4.1
1966-11-08,0
1967-06-02,0
1967-06-30,0
1967-07-07,18
1967-07-14,31.5
1967-07-21,85.6
1967-07-25,82.3
1967-07-31,91.2
1967-08-04,86.9
1967-08-11,106.4
1967-08-18,132.1
1967-08-24,125.2
1967-08-29,145.8
1967-09-07,165.4
1967-09-15,185.4
1967-09-22,175.5
1967-09-29,140.2
1967-10-06,123.7
1967-10-09,98
1967-10-13,68.3
1967-10-20,24.1
1967-10-27,0
1968-05-17,0
1968-05-24,92.2
1968-06-05,162.8
1968-06-12,146.3
1968-06-27,148.1
1968-07-05,159.8
1968-07-12,164.8
1968-07-19,182.9
1968-07-26,162.8
1968-08-02,210.6
1968-08-14,231.9
1968-08-23,241.8
1968-08-29,259.3
1968-09-06,262.1
1968-09-16,255.5
1968-09-20,247.9
1968-09-27,261.4
1968-10-04,307.1
1968-10-11,285.2
1968-10-18,239.5
1968-10-31,202.9
1968-11-08,125.7
1968-11-15,93.5
1968-11-26,39.1
1968-11-29,19.3
1968-12-06,0
1969-06-05,0
1969-06-12,45.7
1969-06-27,44.7
1969-07-04,46
1969-07-11,69.3
1969-07-17,53.8
1969-07-24,76.2
1969-07-31,75.9
1969-08-07,99.8
1969-08-14,114.6
1969-08-21,106.9
1969-08-29,78.2
1969-09-04,40.4
1969-09-18,97.5
1969-09-26,100.8
1969-10-03,82.5
1969-10-09,59.9
1969-10-16,19.1
1969-10-24,0
1970-05-01,0
1970-05-08,11.2
1970-05-22,42.4
1970-05-28,40.1
1970-06-04,24.4
1970-06-11,44.2
1970-06-18,61
1970-06-25,61.2
1970-07-02,136.9
1970-07-09,148.1
1970-07-16,143.5
1970-07-23,181.4
1970-07-30,175
1970-08-06,216.2
1970-08-13,214.9
1970-08-20,220.2
1970-08-27,272.8
1970-09-02,277.9
1970-09-10,271.5
1970-09-17,276.9
1970-09-24,279.1
1970-10-01,280.7
1970-10-06,214.9
1970-10-08,187.5
1970-10-10,183.1
1970-10-15,160
1970-10-22,109.2
1970-10-29,77.2
1970-11-05,52.3
1970-11-12,9.7
1970-11-19,0
1971-04-29,0
1971-05-06,33
1971-05-13,23.4
1971-05-20,24.1
1971-05-27,19.3
1971-06-03,63
1971-06-10,42.2
1971-06-17,41.9
1971-06-24,64.3
1971-07-01,87.4
1971-07-08,85.1
1971-07-15,84.1
1971-07-22,87.1
1971-07-29,87.9
1971-08-05,97
1971-08-12,117.6
1971-08-19,121.7
1971-08-26,159.8
1971-09-02,194.6
1971-09-09,191
1971-09-16,175.8
1971-09-23,175.3
1971-09-30,180.3
1971-10-05,206.5
1971-10-14,164.8
1971-10-21,143.8
1971-10-28,117.9
1971-11-04,73.4
1971-11-11,39.6
1971-11-18,0
1972-04-20,0
1972-04-27,33.8
1972-05-04,19.3
1972-05-11,4.8
1972-05-18,24.6
1972-05-25,31.8
1972-06-01,31.8
1972-06-08,29.5
1972-06-15,29
1972-06-23,53.6
1972-06-30,124.7
1972-07-06,135.1
1972-07-13,164.1
1972-07-20,185.7
1972-07-27,184.7
1972-08-03,179.6
1972-08-10,210.3
1972-08-17,226.8
1972-08-24,226.1
1972-08-31,196.3
1972-09-07,178.8
1972-09-14,191.5
1972-09-21,170.2
1972-09-28,146.3
1972-10-05,109
1972-10-13,88.4
1972-10-19,59.2
1972-10-26,13.7
1972-11-01,0
1973-05-31,0
1973-06-07,25.1
1973-06-14,40.4
1973-06-21,39.6
1973-06-28,42.9
1973-07-05,30
1973-07-12,31
1973-07-19,30.7
1973-07-26,32.5
1973-08-02,37.8
1973-08-09,42.2
1973-08-16,49
1973-08-23,45.7
1973-08-30,57.4
1973-09-06,123.4
1973-09-13,83.8
1973-09-20,98.8
1973-09-27,75.9
1973-10-04,49.8
1973-10-11,0
1974-05-23,0
1974-05-30,25
1974-06-06,15.2
1974-06-13,14.7
1974-06-20,26.8
1974-06-27,37.4
1974-07-04,42.4
1974-07-11,53.5
1974-07-18,68.6
1974-07-25,158.5
1974-08-01,188.7
1974-08-08,201
1974-08-15,240.2
1974-08-22,227
1974-08-29,287.4
1974-09-05,272.3
1974-09-12,254.4
1974-09-19,276.9
1974-09-26,278.3
1974-10-03,254
1974-10-08,225.9
1974-10-10,216.6
1974-10-18,203.9
1974-10-24,186.5
1974-10-28,158.2
1974-10-30,139
1974-11-07,113.2
1974-11-14,51.2
1974-11-21,12.2
1974-11-26,0
1975-05-22,0
1975-05-29,35.7
1975-06-05,56.2
1975-06-12,45.4
1975-06-19,46.8
1975-06-26,57.9
1975-07-03,71.7
1975-07-10,99.1
1975-07-17,158.2
1975-07-24,154.4
1975-07-31,109.6
1975-08-04,107.6
1975-08-07,119.2
1975-08-14,117.6
1975-08-21,124.1
1975-08-28,167.3
1975-09-02,180
1975-09-04,178.7
1975-09-11,167.6
1975-09-18,108.1
1975-09-25,106.3
1975-09-30,80
1975-10-03,80.2
1975-10-09,51.3
1975-10-16,49.2
1975-10-23,27.6
1975-10-30,2.5
1975-11-04,0
1976-06-03,0
1976-06-10,22.1
1976-06-17,24.4
1976-06-24,24.9
1976-07-01,44.8
1976-07-08,57.2
1976-07-15,57.7
1976-07-22,55
1976-07-29,51.5
1976-08-05,141.2
1976-08-12,148.2
1976-08-19,140.1
1976-08-26,145.1
1976-08-31,140.1
1976-09-09,147.9
1976-09-16,160.7
1976-09-23,140.8
1976-09-30,130.3
1976-10-07,80.9
1976-10-14,79.3
1976-10-21,70.2
1976-10-28,43.2
1976-11-04,13.1
1976-11-11,0
1977-05-19,0
1977-05-26,70.8
1977-06-02,78.7
1977-06-09,74.8
1977-06-16,77.8
1977-06-23,73.5
1977-06-30,136.1
1977-07-07,123.4
1977-07-14,139
1977-07-21,130.3
1977-07-28,222.2
1977-08-04,226.6
1977-08-11,218.8
1977-08-18,194.7
